nombre,precio,calificacion,ciudad,check_in,check_out
Hotel Brisas La Gaviota Mariquit-Tolima,No disponible,No disponible,Mariquita,2024-12-01,2024-12-02
Domus Glamping Guatapé,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
1714 Hotel Boutique Guatapé,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Hotel Spa Bliss Guatape,No disponible,No disponible,GUATAPÉ,2024-12-01,2024-12-02
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,No disponible,No disponible,"MARINILLA, ANTIOQUIA",2024-12-01,2024-12-02
Hobbit Hotel Ecolodge- Guatapé,No disponible,No disponible,GUATAPÉ,2024-12-01,2024-12-02
"Cabañas Navegar- El peñol, Guatape",No disponible,No disponible,"El peñol, Guatapé",2024-12-01,2024-12-02
Hotel Omaga El peñol- Guatape,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Hotel Stay Guatape a dos cuadras del parque,No disponible,No disponible,GUATAPÉ,2024-12-01,2024-12-02
"San Simon Glamping,El peñol,Guatape",No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Finca con jacuzzi a 15min de Guatape,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
"Finca Parcelación Alemania 1 El peñol, Guatapé",No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
"Finca la Marina el peñol,Guatapé",No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Hotel Castillo del lago,No disponible,No disponible,"EL PEÑOL, GUATAPÉ",2024-12-01,2024-12-02
Hotel Brisas La Gaviota Mariquit-Tolima,COP 409.480,"Puntuación: 9,2
9,2
Fantástico
99 comentarios",Mariquita,2024-12-02,2024-12-03
Domus Glamping Guatapé,COP 821.340,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
1714 Hotel Boutique Guatapé,COP 406.980,"Puntuación: 9,2
9,2
Fantástico
161 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Hotel Spa Bliss Guatape,COP 147.840,"Puntuación: 9,8
9,8
Excepcional
6 comentarios",GUATAPÉ,2024-12-02,2024-12-03
Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,COP 432.000,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-02,2024-12-03
Hobbit Hotel el peñol Guatapé,COP 161.000,"Puntuación: 7,9
7,9
Bien
3.206 comentarios",GUATAPÉ,2024-12-02,2024-12-03
"Cabañas Navegar- El peñol, Guatape",COP 319.000,"Puntuación: 8,3
8,3
Muy bien
14 comentarios","El peñol, Guatapé",2024-12-02,2024-12-03
Hotel Omaga El peñol- Guatape,COP 302.400,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Hotel Stay Guatape a dos cuadras del parque,COP 168.000,"Puntuación: 7,3
7,3
Bien
12 comentarios",GUATAPÉ,2024-12-02,2024-12-03
"San Simon Glamping,El peñol,Guatape",COP 260.000,"Puntuación: 8,9
8,9
Fabuloso
62 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,COP 378.000,"Puntuación: 9,1
9,1
Fantástico
37 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Finca con jacuzzi a 15min de Guatape,COP 840.000,"Puntuación: 7,9
7,9
Bien
3.206 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
"Finca Parcelación Alemania 1 El peñol, Guatapé",COP 420.000,"Puntuación: 7,9
7,9
Bien
3.206 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Finca La Marina El peñol Guatape,COP 312.000,"Puntuación: 10
10
Excepcional
4 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
Lago Hotel,COP 487.260,"Puntuación: 7,9
7,9
Bien
69 comentarios","EL PEÑOL, GUATAPÉ",2024-12-02,2024-12-03
