precio,nombre,calificacion,ciudad,check_in,check_out
COP 1.001.740,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
98 comentarios",Mariquita,2025-01-07,2025-01-08
COP 896.000,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
88 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 334.880,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
164 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 145.600,Hotel Spa Bliss Guatape,"Puntuación: 9,1
9,1
Fantástico
10 comentarios",GUATAPÉ,2025-01-07,2025-01-08
COP 640.000,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2025-01-07,2025-01-08
COP 272.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
3 comentarios",GUATAPÉ,2025-01-07,2025-01-08
COP 375.840,"Marina Navegar- El peñol, Guatape","Puntuación: 8,5
8,5
Muy bien
16 comentarios","El peñol, Guatapé",2025-01-07,2025-01-08
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
2 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 165.760,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
13 comentarios",GUATAPÉ,2025-01-07,2025-01-08
COP 312.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,8
8,8
Fabuloso
65 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 460.460,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 1.120.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 220.500,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 381.600,Finca La Marina El peñol Guatape,"Puntuación: 9,5
9,5
Excepcional
26 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
COP 669.240,Hotel Del Lago,"Puntuación: 7,8
7,8
Bien
484 comentarios","EL PEÑOL, GUATAPÉ",2025-01-07,2025-01-08
