nombre,precio,calificacion,competidor,ciudad,check_in,check_out
Apartamento Cerro Dorado Sur,COP 233.880,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",Cerro Dorado,Mariquita,2024-11-09,2024-11-10
Hotel Boutique San Rafael,COP 169.900,"Puntuación: 8,8
8,8
Fabuloso
35 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-09,2024-11-10
Eco-Glamping Shalom,COP 560.000,"Puntuación: 9,4
9,4
Fantástico
45 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-09,2024-11-10
Finca Hotel el Rancho de Monchito,COP 120.000,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-09,2024-11-10
Hotel Refugio Bike,COP 169.900,"Puntuación: 9,0
9,0
Fantástico
61 comentarios",Hotel Refugio Bike,Mariquita,2024-11-09,2024-11-10
Casa Mariquita Hotel by Omeo,COP 2.031.280,"Puntuación: 8,0
8,0
Muy bien
650 comentarios",Hotel Marqueta,Mariquita,2024-11-09,2024-11-10
Hostal Albita,COP 85.000,"Puntuación: 10
10
Excepcional
1 comentario",Glamping Ciudad Perdida Falan,Mariquita,2024-11-09,2024-11-10
Hotel Boutique Posada Las Trampas,COP 554.640,"Puntuación: 9,3
9,3
Fantástico
413 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-09,2024-11-10
Casa De Amigos Hotel Boutique,COP 218.500,"Puntuación: 9,5
9,5
Excepcional
141 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-09,2024-11-10
Waka Hotel Rural,COP 218.500,"Puntuación: 8,8
8,8
Fabuloso
259 comentarios",Waka Hotel Rural,Mariquita,2024-11-09,2024-11-10
La Casona de Sara,COP 218.500,"Puntuación: 9,5
9,5
Excepcional
100 comentarios",La Casona de Sara,Mariquita,2024-11-09,2024-11-10
Cannua Lodge,COP 855.340,"Puntuación: 9,3
9,3
Fantástico
93 comentarios",Cannua Lodge,GUATAPÉ,2024-11-09,2024-11-10
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,COP 352.000,"Puntuación: 8,0
8,0
Muy bien
732 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-11-09,2024-11-10
MG Hotels & Suites,COP 399.760,"Puntuación: 8,1
8,1
Muy bien
323 comentarios",MG Hotels & Suites,GUATAPÉ,2024-11-09,2024-11-10
Movich Hotel Las Lomas,COP 649.000,"Puntuación: 8,6
8,6
Fabuloso
2.406 comentarios",Movich Hotel Las Lomas,GUATAPÉ,2024-11-09,2024-11-10
Lagoon Beach Hotel & Spa,COP 705.920,"Puntuación: 7,5
7,5
Bien
5.387 comentarios",Hotel Lagoon,GUATAPÉ,2024-11-09,2024-11-10
Hotel Casa Linda Guatape,COP 246.740,"Puntuación: 8,8
8,8
Fabuloso
289 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-11-09,2024-11-10
NOMADA HOTEL GUATAPE,COP 134.160,"Puntuación: 9,3
9,3
Fantástico
83 comentarios",NOMADA HOTEL GUATAPE,GUATAPÉ,2024-11-09,2024-11-10
Ayenda Hotel Bambu Guatape,COP 299.000,"Puntuación: 8,7
8,7
Fabuloso
194 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-11-09,2024-11-10
Ayenda Hotel Bambu Guatape,COP 299.000,"Puntuación: 8,7
8,7
Fabuloso
194 comentarios",Brisas Guatape ,GUATAPÉ,2024-11-09,2024-11-10
Hotel Real,COP 267.020,"Puntuación: 8,7
8,7
Fabuloso
552 comentarios",Hotel Real Guatape ,GUATAPÉ,2024-11-09,2024-11-10
Hotel Omaga El peñol- Guatape,COP 243.960,"Puntuación: 10
10
Excepcional
2 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-11-09,2024-11-10
Hotel La Magdalena Adult Only,COP 680.000,"Puntuación: 9,1
9,1
Fantástico
250 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-11-09,2024-11-10
