precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 243.240,Apartamento Cerro Dorado Sur,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",Cerro Dorado,Mariquita,2024-11-14,2024-11-15
COP 306.000,Hotel Boutique San Rafael,"Puntuación: 8,9
8,9
Fabuloso
34 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-14,2024-11-15
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,4
9,4
Fantástico
45 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-14,2024-11-15
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-14,2024-11-15
COP 220.000,Hotel Refugio Bike,"Puntuación: 9,0
9,0
Fantástico
59 comentarios",Hotel Refugio Bike,Mariquita,2024-11-14,2024-11-15
COP 581.060,Casa Mariquita Hotel by Omeo,"Puntuación: 8,0
8,0
Muy bien
654 comentarios",Hotel Marqueta,Mariquita,2024-11-14,2024-11-15
COP 60.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-11-14,2024-11-15
COP 388.240,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
411 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-14,2024-11-15
COP 591.600,Casa De Amigos Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
142 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-14,2024-11-15
COP 292.500,Waka Hotel Rural,"Puntuación: 8,8
8,8
Fabuloso
260 comentarios",Waka Hotel Rural,Mariquita,2024-11-14,2024-11-15
COP 250.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
102 comentarios",La Casona de Sara,Mariquita,2024-11-14,2024-11-15
COP 818.280,Cannua Lodge,"Puntuación: 9,3
9,3
Fantástico
92 comentarios",Cannua Lodge,GUATAPÉ,2024-11-14,2024-11-15
