precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 400.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 8,9
8,9
Fabuloso
11 comentarios",Arvum Hotel Boutique,El peñol,2024-12-31,2025-01-01
COP 100.000,Eden Hotel,"Puntuación: 8,6
8,6
Fabuloso
29 comentarios",Eden Hotel ,El peñol,2024-12-31,2025-01-01
COP 1.300.000,Hotel La Magdalena Adult Only,"Puntuación: 9,1
9,1
Fantástico
238 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 450.000,Hotel Hobbit el peñol Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 552.600,Finca Santa Maria de las Cañadas,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas  peñol,El peñol,2024-12-31,2025-01-01
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 1.346.400,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
94 comentarios",Vivanti Resort,GUATAPÉ,2024-12-31,2025-01-01
COP 2.197.160,Atma Eco Village,"Puntuación: 8,8
8,8
Fabuloso
111 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,9
8,9
Fabuloso
65 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 1.680.000,Bosko,"Puntuación: 9,1
9,1
Fantástico
251 comentarios",Bosko,GUATAPÉ,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 702.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 1.649.700,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
58 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 1.860.300,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
331 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
78 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 469.800,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 720.000,Cabaña El peñol Guatape,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 841.600,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.092 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 980.000,El Trebol,"Puntuación: 9,5
9,5
Excepcional
255 comentarios",El Trebol,GUATAPÉ,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",Glamping la Cepa GUATAPÉ,El peñol,2024-12-31,2025-01-01
COP 765.600,Hotel Pietrasanta,"Puntuación: 8,9
8,9
Fabuloso
17 comentarios",Hotel Pietrasanta,GUATAPÉ,2024-12-31,2025-01-01
COP 1.252.800,Jordan Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
388 comentarios",Jordan Hotel Boutique,GUATAPÉ,2024-12-31,2025-01-01
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
78 comentarios",Levit Glamping - Hotel Guatapé Peñol,GUATAPÉ,2024-12-31,2025-01-01
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios","Magic View El peñol, Guatapé",El peñol,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2024-12-31,2025-01-01
COP 841.600,The Boato Hotel,"Puntuación: 9,0
9,0
Fantástico
1.092 comentarios",The Boato Hotel,GUATAPÉ,2024-12-31,2025-01-01
COP 780.300,Casa De Amigos Hotel Boutique,"Puntuación: 9,4
9,4
Fantástico
145 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-12-31,2025-01-01
COP 853.500,Apartamento Cerro Dorado Sur,"Puntuación: 8,9
8,9
Fabuloso
27 comentarios",Cerro Dorado,Mariquita,2024-12-31,2025-01-01
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,5
9,5
Excepcional
43 comentarios",Eco-Glamping Shalom,Mariquita,2024-12-31,2025-01-01
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-12-31,2025-01-01
COP 60.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-12-31,2025-01-01
COP 596.640,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
406 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-12-31,2025-01-01
COP 306.000,Hotel Boutique San Rafael,"Puntuación: 9,0
9,0
Fantástico
33 comentarios",Hotel Boutique San Rafael,Mariquita,2024-12-31,2025-01-01
COP 70.000,Hotel OASIS,"Puntuación: 8,1
8,1
Muy bien
852 comentarios",Hotel Marqueta,Mariquita,2024-12-31,2025-01-01
COP 630.000,Hotel Refugio Bike,"Puntuación: 9,0
9,0
Fantástico
58 comentarios",Hotel Refugio Bike,Mariquita,2024-12-31,2025-01-01
COP 450.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
105 comentarios",La Casona de Sara,Mariquita,2024-12-31,2025-01-01
COP 351.000,Waka Hotel Rural,"Puntuación: 8,8
8,8
Fabuloso
257 comentarios",Waka Hotel Rural,Mariquita,2024-12-31,2025-01-01
COP 239.200,Ayenda Hotel Bambu Guatape,"Puntuación: 8,7
8,7
Fabuloso
197 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-12-31,2025-01-01
COP 259.880,La Madriguera,"Puntuación: 8,8
8,8
Fabuloso
566 comentarios",La Madriguera,GUATAPÉ,2024-12-31,2025-01-01
COP 526.920,Single Fin Suites & Rooms La punta zicatela,"Puntuación: 7,8
7,8
Bien
89 comentarios",Brisas de Guatapé,GUATAPÉ,2024-12-31,2025-01-01
COP 490.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-12-31,2025-01-01
COP 415.640,Hotel Casa Linda Guatape,"Puntuación: 8,8
8,8
Fabuloso
304 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-12-31,2025-01-01
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,3
7,3
Bien
12 comentarios",Hotel Stay Guatape a dos cuadras del parque.,GUATAPÉ,2024-12-31,2025-01-01
COP 294.300,Hotel Real,"Puntuación: 8,7
8,7
Fabuloso
569 comentarios",Hotel Real Guatapé.,GUATAPÉ,2024-12-31,2025-01-01
COP 477.900,MG Hotels & Suites,"Puntuación: 8,1
8,1
Muy bien
317 comentarios",MG Hotels & Suites,"MARINILLA, ANTIOQUIA",2024-12-31,2025-01-01
COP 373.200,Cabañas tipo glamping cerca al Peñol LUUM,"Puntuación: 9,2
9,2
Fantástico
5 comentarios",Cabañas tipo glamping cerca al peñol LUUM,"MARINILLA, ANTIOQUIA",2024-12-31,2025-01-01
COP 649.000,Movich Hotel Las Lomas,"Puntuación: 8,6
8,6
Fabuloso
2.363 comentarios",Movich Hotel Las Lomas,"MARINILLA, ANTIOQUIA",2024-12-31,2025-01-01
COP 1.844.500,Cannua Lodge,"Puntuación: 9,3
9,3
Fantástico
87 comentarios",Cannua Lodge,"MARINILLA, ANTIOQUIA",2024-12-31,2025-01-01
COP 897.940,Hotel Lagoon,"Puntuación: 8,6
8,6
Fabuloso
404 comentarios",Hotel Lagoon,"MARINILLA, ANTIOQUIA",2024-12-31,2025-01-01
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios","Magic View El peñol, Guatapé",El peñol,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","San simon glamping, El peñol, Guatape",GUATAPÉ,2024-12-31,2025-01-01
COP 702.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"El peñol, Guatapé",2024-12-31,2025-01-01
COP 490.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,EL PEÑOL,2024-12-31,2025-01-01
COP 765.000,Cabañas Refugio Himalaya,"Puntuación: 9,5
9,5
Excepcional
102 comentarios",Cabañas Refugio Himalaya,Guatapé,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",BubbleSky Glamping Guatapé,"El peñol, Guatapé",2024-12-31,2025-01-01
COP 168.000,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,3
7,3
Bien
12 comentarios",Hotel Stay Guatape a dos cuadras del parque,Guatapé,2024-12-31,2025-01-01
COP 400.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 8,9
8,9
Fabuloso
11 comentarios",Bramasole Hotel Boutique - El Peñol,El peñol ,2024-12-31,2025-01-01
COP 149.000,Hotel Las Vegas,"Puntuación: 7,9
7,9
Bien
1.100 comentarios",Hotel Las Vegas,Guatapé,2024-12-31,2025-01-01
COP 184.480,NOMADA HOTEL GUATAPE,"Puntuación: 9,3
9,3
Fantástico
84 comentarios",NOMADA HOTEL GUATAPE,Guatapé,2024-12-31,2025-01-01
COP 850.020,Porto Marina Hotel,"Puntuación: 8,9
8,9
Fabuloso
542 comentarios",Hotel porto guatapé,Guatapé,2024-12-31,2025-01-01
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios","Magic View El peñol, Guatapé",El peñol,2024-12-31,2025-01-01
COP 469.800,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios","Cabañas Navegar- El peñol, guatape",Guatapé,2024-12-31,2025-01-01
COP 702.000,Glamping The Mountain,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 490.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,Guatapé,2024-12-31,2025-01-01
COP 765.000,Cabañas Refugio Himalaya,"Puntuación: 9,5
9,5
Excepcional
102 comentarios",Cabañas Refugio Himalaya,Guatapé,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 239.200,Ayenda Hotel Bambu Guatape,"Puntuación: 8,7
8,7
Fabuloso
197 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-12-31,2025-01-01
COP 400.000,Hotel Las Guacamayas Guatapé,"Puntuación: 8,6
8,6
Fabuloso
15 comentarios",Hotel Las Guacamayas Guatapé,GUATAPÉ,2024-12-31,2025-01-01
COP 315.000,Hotel Spa Bliss Guatape,"Puntuación: 9,8
9,8
Excepcional
5 comentarios",Hotel spa bliss guatapé,GUATAPÉ,2024-12-31,2025-01-01
COP 190.000,Hotel brisas de Salazar,"Puntuación: 7,6
7,6
Bien
684 comentarios",Hotel Brisas De Guatape,GUATAPÉ,2024-12-31,2025-01-01
COP 200.000,Hotel Portobelo Guatape,"Puntuación: 8,9
8,9
Fabuloso
77 comentarios",Hotel Portobelo Guatape,GUATAPÉ,2024-12-31,2025-01-01
COP 149.000,Hotel Las Vegas,"Puntuación: 7,9
7,9
Bien
1.100 comentarios",Hotel Las Vegas,GUATAPÉ,2024-12-31,2025-01-01
COP 285.940,Hotel Guatatur,"Puntuación: 8,0
8,0
Muy bien
742 comentarios",Hotel Guatatur,GUATAPÉ,2024-12-31,2025-01-01
COP 294.300,Hotel Real,"Puntuación: 8,7
8,7
Fabuloso
569 comentarios",Hotel Real Guatapé.,GUATAPÉ,2024-12-31,2025-01-01
COP 527.800,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
61 comentarios","San Simon Glamping,El peñol,Guatape, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2024-12-31,2025-01-01
COP 469.800,"Cabañas Navegar- El peñol, Guatape","Puntuación: 8,3
8,3
Muy bien
14 comentarios","Cabañas Navegar- El peñol, Guatape, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2024-12-31,2025-01-01
COP 450.000,"Magic View El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios","Magic View - El peñol, Guatape, El Peñol (precios actualizados 2024) (booking.com)",El peñol,2024-12-31,2025-01-01
COP 280.000,Refugio del Lago,"Puntuación: 9,2
9,2
Fantástico
179 comentarios","Refugio del Lago, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2024-12-31,2025-01-01
COP 420.000,EDYMA Cabaña con JACUZZI,"Puntuación: 10
10
Excepcional
2 comentarios","EDYMA 
Cabaña",Guatapé,2024-12-31,2025-01-01
0,No se encontró,0,"Suite Gold Rocks Glamping, El Peñol (precios actualizados 2024) (booking.com)",El peñol,2024-12-31,2025-01-01
0,No se encontró,0,"Eco Lodge Glamping, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2024-12-31,2025-01-01
COP 975.000,Glamping Montecarlo Domo Geodesico y Sauna Finlandés Guatapé,"Puntuación: 9,1
9,1
Fantástico
14 comentarios","Glamping Montecarlo Domo Geodesico y Sauna Finlandés Guatapé, Guatapé (precios actualizados 2024) (booking.com)",Guatapé,2024-12-31,2025-01-01
0,No se encontró,0,"Finca 3 - Dakeva, El Peñol (precios actualizados 2024) (booking.com)",El peñol,2024-12-31,2025-01-01
COP 294.160,Casa El Encuentro,"Puntuación: 9,0
9,0
Fantástico
2 comentarios",Casa Encuentro by Haus,El peñol,2024-12-31,2025-01-01
COP 646.100,El Espume de San Juan by JR,"Puntuación: 9,1
9,1
Fantástico
60 comentarios",El espume de San Juan By JR,"EL PEÑOL, GUATAPÉ",2024-12-31,2025-01-01
COP 419.580,Finca 3 - Dakeva,"Puntuación: 7,3
7,3
Bien
4 comentarios",Finca las 3 marias,El peñol ,2024-12-31,2025-01-01
COP 170.000,Finca El Peñol,"Puntuación: 8,1
8,1
Muy bien
15 comentarios",Finca Alejandria,El peñol,2024-12-31,2025-01-01
COP 600.000,Villa Aldebarán,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Villa Aldebaran,El peñol,2024-12-31,2025-01-01
COP 1.890.000,Finca Villa Maru,"Puntuación: 9,3
9,3
Fantástico
3 comentarios",Finca villa maru,El peñol,2024-12-31,2025-01-01
COP 1.400.000,"Hermosa casa de campo el Peñol,Guatapé","Puntuación: 7,9
7,9
Bien
3.224 comentarios",Hermosa Casa de campo el peñol Gutape,Guatapé,2024-12-31,2025-01-01
COP 2.800.000,Finca-Hotel Montecarlo Guatape by Hope,"Puntuación: 10
10
Excepcional
5 comentarios","Finca-Hotel Montecarlo
Guatape by Hope",Guatapé,2024-12-31,2025-01-01
COP 1.890.000,Finca Villa Maru,"Puntuación: 9,3
9,3
Fantástico
3 comentarios",Finca villa sofia,El peñol,2024-12-31,2025-01-01
COP 400.000,FINCA MAICA,"Puntuación: 9,2
9,2
Fantástico
17 comentarios",Finca Maica,Guatapé,2024-12-31,2025-01-01
COP 255.000,Cabaña el mirador azul,"Puntuación: 8,4
8,4
Muy bien
29 comentarios",Cabaña el mirador azul,Guatapé,2024-12-31,2025-01-01
COP 600.000,Villa Aldebarán,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Villa Aldebaran,El peñol,2024-12-31,2025-01-01
COP 420.000,EDYMA Cabaña con JACUZZI,"Puntuación: 10
10
Excepcional
2 comentarios","EDYMA 
Cabaña",Guatapé,2024-12-31,2025-01-01
COP 504.000,Finca 1 - Dakeva,"Puntuación: 8,2
8,2
Muy bien
25 comentarios",Finca 1- Dakeva,Guatapé,2024-12-31,2025-01-01
COP 170.000,Finca El Peñol,"Puntuación: 8,1
8,1
Muy bien
15 comentarios",Finca Carmela,El peñol,2024-12-31,2025-01-01
COP 2.817.500,Las Palmas Luxury Villa El Peñol - Guatapé,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Villa Lisboa,El peñol,2024-12-31,2025-01-01
COP 270.000,Cabaña La Capilla El Peñol,"Puntuación: 10
10
Excepcional
2 comentarios","Cabaña 
La Heliconia",El peñol,2024-12-31,2025-01-01
COP 3.870.000,Espectacular Cabaña Loft en Guatape - Jacuzzi,"Puntuación: 9,6
9,6
Excepcional
8 comentarios",Espectacular Cabaña Loft en Guatape - Jacuzzi,El peñol,2024-12-31,2025-01-01
COP 600.000,Villa Aldebarán,"Puntuación: 7,9
7,9
Bien
3.224 comentarios",Villa Aldebaran,El peñol,2024-12-31,2025-01-01
COP 504.000,Finca 1 - Dakeva,"Puntuación: 8,2
8,2
Muy bien
25 comentarios",Finca 1- Dakeva,Guatapé,2024-12-31,2025-01-01
COP 420.000,EDYMA Cabaña con JACUZZI,"Puntuación: 10
10
Excepcional
2 comentarios","EDYMA 
Cabaña con jacuzzi",Guatapé,2024-12-31,2025-01-01
COP 170.000,Finca El Peñol,"Puntuación: 8,1
8,1
Muy bien
15 comentarios",Finca Carmela,El peñol,2024-12-31,2025-01-01
