hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Casa de la Cruz,COP 110.560,"Puntuación: 10
10",Excepcional,2,Mariquita,2024-11-08,2024-11-09
Casa Colonial,COP 70.000,"Puntuación: 8,4
8,4",Muy bien,142,Mariquita,2024-11-08,2024-11-09
Hotel ZT,COP 79.200,"Puntuación: 8,1
8,1",Muy bien,17,Mariquita,2024-11-08,2024-11-09
Hotel flamingo real T,COP 110.000,"Puntuación: 7,3
7,3",Bien,33,Mariquita,2024-11-08,2024-11-09
Casamarilla,COP 220.000,"Puntuación: 9,2
9,2",Fantástico,246,Mariquita,2024-11-08,2024-11-09
Hotel nelumbo,COP 220.000,"Puntuación: 9,2
9,2",Fantástico,17,Mariquita,2024-11-08,2024-11-09
La Orquidea,COP 75.000,"Puntuación: 7,8
7,8",Bien,121,Mariquita,2024-11-08,2024-11-09
Hostal Casa de los Virreyes,COP 100.000,"Puntuación: 7,4
7,4",Bien,64,Mariquita,2024-11-08,2024-11-09
SAN SENDERISMO ROOM,COP 72.000,"Puntuación: 9,7
9,7",Excepcional,9,Mariquita,2024-11-08,2024-11-09
Hotel OASIS,COP 70.000,,,,Mariquita,2024-11-08,2024-11-09
Hotel Refugio Bike,COP 220.000,"Puntuación: 9,0
9,0",Fantástico,61,Mariquita,2024-11-08,2024-11-09
Victoria Imperial Hotel,COP 175.000,"Puntuación: 8,6
8,6",Fabuloso,117,Mariquita,2024-11-08,2024-11-09
Hotel B & C,COP 150.000,"Puntuación: 8,1
8,1",Muy bien,54,Mariquita,2024-11-08,2024-11-09
Casa comoda con excelente ubicacion,COP 140.000,"Puntuación: 9,7
9,7",Excepcional,6,Mariquita,2024-11-08,2024-11-09
Apartamento Vacacional Campestre,COP 180.000,"Puntuación: 8,3
8,3",Muy bien,19,Mariquita,2024-11-08,2024-11-09
Eco-Glamping Shalom,COP 560.000,"Puntuación: 9,4
9,4",Fantástico,45,Mariquita,2024-11-08,2024-11-09
casa lumka hotel boutique spa,COP 300.000,"Puntuación: 9,1
9,1",Fantástico,7,Mariquita,2024-11-08,2024-11-09
