hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel Charlotte Suite 26,COP 137.760,"Puntuación: 7,7
7,7",Bien,1.160,BOGOTA,2025-01-31,2025-02-01
Movich Buro 26,COP 407.340,"Puntuación: 8,4
8,4",Muy bien,3.928,BOGOTA,2025-01-31,2025-02-01
SHG Bogotá 100 Design Hotel,COP 204.000,"Puntuación: 8,3
8,3",Muy bien,2.015,BOGOTA,2025-01-31,2025-02-01
"The Artisan D.C. Hotel, Autograph Collection",COP 746.440,"Puntuación: 8,8
8,8",Fabuloso,47,BOGOTA,2025-01-31,2025-02-01
Casa Dann Carlton Hotel & SPA,COP 336.660,"Puntuación: 8,8
8,8",Fabuloso,2.768,BOGOTA,2025-01-31,2025-02-01
Lujo y confort en zona 93 norte de Bogota con los mejores estandares,COP 202.500,,,,BOGOTA,2025-01-31,2025-02-01
Hotel Black Usaquen,COP 145.200,"Puntuación: 6,9
6,9",Puntuación,1.232,BOGOTA,2025-01-31,2025-02-01
HOTEL SHERIDAN BOGOTA,COP 108.000,"Puntuación: 8,0
8,0",Muy bien,803,BOGOTA,2025-01-31,2025-02-01
Suite con Piscina chapinero,COP 130.000,"Puntuación: 6,0
6,0",Puntuación,3,BOGOTA,2025-01-31,2025-02-01
Bogota Plaza Hotel,COP 288.960,"Puntuación: 8,8
8,8",Fabuloso,1.477,BOGOTA,2025-01-31,2025-02-01
Soy Local Usaquen,COP 161.640,"Puntuación: 8,4
8,4",Muy bien,1.185,BOGOTA,2025-01-31,2025-02-01
Hotel Windsor House Inn By GEH Suites,COP 258.140,"Puntuación: 8,6
8,6",Fabuloso,2.044,BOGOTA,2025-01-31,2025-02-01
Terrazas,COP 104.500,"Puntuación: 8,8
8,8",Fabuloso,2.724,BOGOTA,2025-01-31,2025-02-01
Hotel Marbella Chico,COP 133.000,"Puntuación: 8,7
8,7",Fabuloso,1.238,BOGOTA,2025-01-31,2025-02-01
Camping in the city,COP 36.000,,,,BOGOTA,2025-01-31,2025-02-01
Modern Loft in 85 st,COP 224.940,"Puntuación: 8,9
8,9",Fabuloso,166,BOGOTA,2025-01-31,2025-02-01
"The Hood 102, Modern and Luxury Apartments",COP 172.800,"Puntuación: 9,0
9,0",Fantástico,358,BOGOTA,2025-01-31,2025-02-01
A Bogota On Holidays by Open - HOTEL,COP 80.100,"Puntuación: 6,8
6,8",Puntuación,2.272,BOGOTA,2025-01-31,2025-02-01
Apartaestudios Los Andes,COP 136.900,"Puntuación: 8,6
8,6",Fabuloso,2.194,BOGOTA,2025-01-31,2025-02-01
Taj 97,COP 213.840,"Puntuación: 9,0
9,0",Fantástico,65,BOGOTA,2025-01-31,2025-02-01
Unique Mine - Luxury Lofts,COP 248.240,"Puntuación: 8,0
8,0",Muy bien,547,BOGOTA,2025-01-31,2025-02-01
One Fourteen Rooms,COP 101.260,"Puntuación: 9,0
9,0",Fantástico,267,BOGOTA,2025-01-31,2025-02-01
TOWER - Embajada Americana,COP 88.300,"Puntuación: 7,2
7,2",Bien,403,BOGOTA,2025-01-31,2025-02-01
Hemma Bogotá Luxury Suites Hotel,COP 230.680,"Puntuación: 8,5
8,5",Muy bien,1.240,BOGOTA,2025-01-31,2025-02-01
Apartahotel Barú - Usaquén,COP 96.000,"Puntuación: 7,7
7,7",Bien,42,BOGOTA,2025-01-31,2025-02-01
1073 Flats x Ahead,COP 229.940,"Puntuación: 8,5
8,5",Muy bien,48,BOGOTA,2025-01-31,2025-02-01
Aw Hotel Ariston Embassy,COP 114.000,"Puntuación: 8,0
8,0",Muy bien,185,BOGOTA,2025-01-31,2025-02-01
