hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel Emperador,COP 168.000,"Puntuación: 8,5
8,5",Muy bien,135,"Barbosa, Santander",2024-11-11,2024-11-12
HOTEL LA RUEDA SR,COP 140.000,"Puntuación: 8,4
8,4",Muy bien,155,"Barbosa, Santander",2024-11-11,2024-11-12
Turrim Dei Hotel Boutique,COP 312.800,"Puntuación: 8,6
8,6",Fabuloso,175,"Barbosa, Santander",2024-11-11,2024-11-12
Hotel Manhattan Barbosa,COP 180.000,"Puntuación: 8,3
8,3",Muy bien,56,"Barbosa, Santander",2024-11-11,2024-11-12
HOTEL EL GRAN CASINO ESMERALDA,COP 100.000,"Puntuación: 7,5
7,5",Bien,13,"Barbosa, Santander",2024-11-11,2024-11-12
Apartamento turístico amoblado Barbosa,COP 214.200,"Puntuación: 9,7
9,7",Excepcional,16,"Barbosa, Santander",2024-11-11,2024-11-12
Finca Hotel El Paraíso,COP 220.000,"Puntuación: 8,4
8,4",Muy bien,26,"Barbosa, Santander",2024-11-11,2024-11-12
Hermoso apartamento,COP 285.000,"Puntuación: 8,3
8,3",Muy bien,66,"Barbosa, Santander",2024-11-11,2024-11-12
Sinadan,COP 216.420,"Puntuación: 10
10",Excepcional,3,"Barbosa, Santander",2024-11-11,2024-11-12
El Mirador,COP 189.000,"Puntuación: 9,4
9,4",Fantástico,10,"Barbosa, Santander",2024-11-11,2024-11-12
Hermosa casa de campo en Barbosa,COP 300.000,"Puntuación: 8,6
8,6",Fabuloso,9,"Barbosa, Santander",2024-11-11,2024-11-12
cabaña barbosa-velez con piscina,COP 1.400.000,,,,"Barbosa, Santander",2024-11-11,2024-11-12
Casa Campestre Privada con Piscina Barbosa,COP 775.000,"Puntuación: 9,0
9,0",Fantástico,1,"Barbosa, Santander",2024-11-11,2024-11-12
Espectacular Casa en Barbosa Santander,COP 327.600,,,,"Barbosa, Santander",2024-11-11,2024-11-12
Departamento Barbosa Santander 301,COP 257.600,"Puntuación: 6,4
6,4",Puntuación,7,"Barbosa, Santander",2024-11-11,2024-11-12
Centro Recreacional IASCEBOY,COP 570.000,"Puntuación: 8,3
8,3",Muy bien,50,"Barbosa, Santander",2024-11-11,2024-11-12
Apartamentos Claudia María,COP 540.000,"Puntuación: 6,2
6,2",Puntuación,6,"Barbosa, Santander",2024-11-11,2024-11-12
La Floresta de Cite Hotel,COP 205.800,"Puntuación: 8,6
8,6",Fabuloso,110,"Barbosa, Santander",2024-11-11,2024-11-12
Hotel Campestre Los Arrayanes,COP 210.800,"Puntuación: 8,2
8,2",Muy bien,51,"Barbosa, Santander",2024-11-11,2024-11-12
Casa Campestre en Barbosa - Naturaleza y Descanso,COP 152.520,"Puntuación: 10
10",Excepcional,1,"Barbosa, Santander",2024-11-11,2024-11-12
Hotel Campestre La Fuente - Piscina,COP 110.000,"Puntuación: 7,8
7,8",Bien,129,"Barbosa, Santander",2024-11-11,2024-11-12
Encanto Urbano,COP 57.600,,,,"Barbosa, Santander",2024-11-11,2024-11-12
Hotel Palmeras De Luz,COP 320.000,"Puntuación: 8,4
8,4",Muy bien,202,"Barbosa, Santander",2024-11-11,2024-11-12
Caney 1,COP 140.000,"Puntuación: 7,5
7,5",Bien,2,"Barbosa, Santander",2024-11-11,2024-11-12
Casa de vacaciones en Moniquirá,COP 198.400,"Puntuación: 10
10",Excepcional,3,"Barbosa, Santander",2024-11-11,2024-11-12
