hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel Quinta Bolivar,COP 1.752.820,"Puntuación: 8,5
8,5",Muy bien,336,Bogota,2024-11-20,2024-11-30
Bogotá Marriott Hotel,COP 9.130.020,"Puntuación: 8,8
8,8",Fabuloso,131,Bogota,2024-11-20,2024-11-30
Hotel Wess,COP 1.860.940,"Puntuación: 7,7
7,7",Bien,397,Bogota,2024-11-20,2024-11-30
Soy Local Usaquen,COP 1.316.700,"Puntuación: 8,4
8,4",Muy bien,1.045,Bogota,2024-11-20,2024-11-30
Aparta estudios central Con ascensor 503,COP 1.020.000,"Puntuación: 7,9
7,9",Bien,7,Bogota,2024-11-20,2024-11-30
Casa Café & Orquídea - Hospedaje,COP 1.713.600,,,,Bogota,2024-11-20,2024-11-30
Hotel Bogotá Suites,COP 769.500,"Puntuación: 6,8
6,8",Puntuación,598,Bogota,2024-11-20,2024-11-30
Hotel Canela 96,COP 700.000,"Puntuación: 8,7
8,7",Fabuloso,184,Bogota,2024-11-20,2024-11-30
Maravillosos apartamentos en Chapinero Weeki,COP 1.219.000,"Puntuación: 9,0
9,0",Fantástico,34,Bogota,2024-11-20,2024-11-30
Hotel Airport Travel,COP 1.100.800,"Puntuación: 7,7
7,7",Bien,341,Bogota,2024-11-20,2024-11-30
72 Hub Apartments,COP 1.916.620,"Puntuación: 8,6
8,6",Fabuloso,421,Bogota,2024-11-20,2024-11-30
Aw Hotel Ariston Embassy,COP 2.000.000,"Puntuación: 8,3
8,3",Muy bien,81,Bogota,2024-11-20,2024-11-30
Unique Mine - Luxury Lofts,COP 2.011.900,"Puntuación: 8,3
8,3",Muy bien,439,Bogota,2024-11-20,2024-11-30
Soy Local Parque La 93,COP 1.549.380,"Puntuación: 8,1
8,1",Muy bien,2.524,Bogota,2024-11-20,2024-11-30
Glow Boutique Hotel Zona G,COP 1.463.000,"Puntuación: 7,6
7,6",Bien,64,Bogota,2024-11-20,2024-11-30
Hotel Joy Cll 85,COP 994.500,"Puntuación: 8,6
8,6",Fabuloso,374,Bogota,2024-11-20,2024-11-30
Hotel San Francisco de Asís,COP 1.258.400,"Puntuación: 8,1
8,1",Muy bien,6.256,Bogota,2024-11-20,2024-11-30
Morph Chico,COP 2.081.340,"Puntuación: 9,0
9,0",Fantástico,286,Bogota,2024-11-20,2024-11-30
Acogedor apartaestudio,COP 1.071.000,"Puntuación: 10
10",Excepcional,1,Bogota,2024-11-20,2024-11-30
Apartahotel Barú - Usaquén,COP 1.200.000,"Puntuación: 8,4
8,4",Muy bien,20,Bogota,2024-11-20,2024-11-30
HOLTZ SMART LOFT Tokyo,COP 1.440.000,"Puntuación: 10
10",Excepcional,1,Bogota,2024-11-20,2024-11-30
Hotel Maceo Chico,COP 1.392.000,"Puntuación: 8,7
8,7",Fabuloso,1.282,Bogota,2024-11-20,2024-11-30
Hotel Viaggio Teleport City Suites,COP 2.226.460,"Puntuación: 8,6
8,6",Fabuloso,268,Bogota,2024-11-20,2024-11-30
Apt estudio calle97301,COP 820.000,"Puntuación: 8,7
8,7",Fabuloso,27,Bogota,2024-11-20,2024-11-30
Apartamentos Weeki en Chapinero,COP 1.228.700,"Puntuación: 8,1
8,1",Muy bien,437,Bogota,2024-11-20,2024-11-30
Casa 30,COP 585.000,"Puntuación: 9,4
9,4",Fantástico,90,Bogota,2024-11-20,2024-11-30
