hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hostelfc Marly,COP 64.260,"Puntuación: 10
10",Excepcional,3,Bogota,2025-02-17,2025-02-18
Hotel Estelar La Fontana,COP 484.900,"Puntuación: 8,8
8,8",Fabuloso,1.758,Bogota,2025-02-17,2025-02-18
Edificio QO 97,COP 178.020,"Puntuación: 8,8
8,8",Fabuloso,18,Bogota,2025-02-17,2025-02-18
Hotel Madisson Inn Luxury By GEH Suites,COP 294.500,"Puntuación: 8,6
8,6",Fabuloso,3.613,Bogota,2025-02-17,2025-02-18
Tequendama Suites Bogota,COP 395.460,"Puntuación: 8,3
8,3",Muy bien,5.338,Bogota,2025-02-17,2025-02-18
HAB Hotel Bogotá,COP 272.660,"Puntuación: 8,5
8,5",Muy bien,3.173,Bogota,2025-02-17,2025-02-18
Embassy On Holidays,COP 72.100,"Puntuación: 7,1
7,1",Bien,3.360,Bogota,2025-02-17,2025-02-18
Hotel en Bogota - Fontana Di Trevi,COP 98.100,"Puntuación: 8,0
8,0",Muy bien,194,Bogota,2025-02-17,2025-02-18
Aw Hotel Ariston Embassy,COP 96.900,"Puntuación: 7,9
7,9",Bien,201,Bogota,2025-02-17,2025-02-18
Hotel Casa de la Luz,COP 144.000,"Puntuación: 7,9
7,9",Bien,812,Bogota,2025-02-17,2025-02-18
Hilton Garden Inn Bogota Airport,COP 385.760,"Puntuación: 8,8
8,8",Fabuloso,5.024,Bogota,2025-02-17,2025-02-18
Hotel Windsor House Inn By GEH Suites,COP 335.260,"Puntuación: 8,6
8,6",Fabuloso,2.104,Bogota,2025-02-17,2025-02-18
Lancaster House,COP 221.600,"Puntuación: 8,6
8,6",Fabuloso,2.047,Bogota,2025-02-17,2025-02-18
Las Aguas Experience,COP 105.600,"Puntuación: 8,7
8,7",Fabuloso,37,Bogota,2025-02-17,2025-02-18
Candelaria House Boutique,COP 430.000,"Puntuación: 9,0
9,0",Fantástico,984,Bogota,2025-02-17,2025-02-18
Hemma Bogotá Luxury Suites Hotel,COP 209.860,"Puntuación: 8,5
8,5",Muy bien,1.254,Bogota,2025-02-17,2025-02-18
Hotel Bogotá Regency Usaquén,COP 287.000,"Puntuación: 7,9
7,9",Bien,2.169,Bogota,2025-02-17,2025-02-18
Soy Local Usaquen,COP 142.500,"Puntuación: 8,4
8,4",Muy bien,1.227,Bogota,2025-02-17,2025-02-18
Hotel Santafe Real,COP 240.260,"Puntuación: 8,4
8,4",Muy bien,210,Bogota,2025-02-17,2025-02-18
Suites 109 GH Usaquén,COP 221.680,"Puntuación: 9,0
9,0",Fantástico,1.096,Bogota,2025-02-17,2025-02-18
Cassa Luxury Homes,COP 627.300,"Puntuación: 9,2
9,2",Fantástico,639,Bogota,2025-02-17,2025-02-18
Terrazas,COP 90.760,"Puntuación: 8,8
8,8",Fabuloso,2.722,Bogota,2025-02-17,2025-02-18
Palermo Home Bogota & Art Gallery,COP 149.100,"Puntuación: 9,1
9,1",Fantástico,1.624,Bogota,2025-02-17,2025-02-18
Hotel Apartamentos Regency La Feria,COP 198.900,"Puntuación: 8,4
8,4",Muy bien,1.129,Bogota,2025-02-17,2025-02-18
Living Centro Internacional,COP 252.000,"Puntuación: 8,0
8,0",Muy bien,1,Bogota,2025-02-17,2025-02-18
Apartaestudios La Candelaria,COP 266.240,"Puntuación: 9,0
9,0",Fantástico,868,Bogota,2025-02-17,2025-02-18
Hostelfc Marly,COP 64.260,"Puntuación: 10
10",Excepcional,3,Bogota,2025-02-18,2025-02-19
Hotel Estelar La Fontana,COP 439.540,"Puntuación: 8,8
8,8",Fabuloso,1.758,Bogota,2025-02-18,2025-02-19
Edificio QO 97,COP 193.800,"Puntuación: 8,8
8,8",Fabuloso,18,Bogota,2025-02-18,2025-02-19
Hotel Madisson Inn Luxury By GEH Suites,COP 282.240,"Puntuación: 8,6
8,6",Fabuloso,3.613,Bogota,2025-02-18,2025-02-19
Tequendama Suites Bogota,COP 348.000,"Puntuación: 8,3
8,3",Muy bien,5.338,Bogota,2025-02-18,2025-02-19
Torre Acqua Lofts - Downtown Bogota,COP 159.040,"Puntuación: 8,8
8,8",Fabuloso,1.339,Bogota,2025-02-18,2025-02-19
Taj 97,COP 194.400,"Puntuación: 8,9
8,9",Fabuloso,81,Bogota,2025-02-18,2025-02-19
HAB Hotel Bogotá,COP 272.660,"Puntuación: 8,5
8,5",Muy bien,3.173,Bogota,2025-02-18,2025-02-19
Embassy On Holidays,COP 88.300,"Puntuación: 7,1
7,1",Bien,3.360,Bogota,2025-02-18,2025-02-19
Lancaster House,COP 221.600,"Puntuación: 8,6
8,6",Fabuloso,2.047,Bogota,2025-02-18,2025-02-19
Hotel en Bogota - Fontana Di Trevi,COP 116.100,"Puntuación: 8,0
8,0",Muy bien,194,Bogota,2025-02-18,2025-02-19
Aw Hotel Ariston Embassy,COP 98.600,"Puntuación: 7,9
7,9",Bien,201,Bogota,2025-02-18,2025-02-19
Hotel Casa de la Luz,COP 144.000,"Puntuación: 7,9
7,9",Bien,812,Bogota,2025-02-18,2025-02-19
Hilton Garden Inn Bogota Airport,COP 426.800,"Puntuación: 8,8
8,8",Fabuloso,5.024,Bogota,2025-02-18,2025-02-19
Hotel aeropuerto La morada Bogotá #4,COP 93.500,"Puntuación: 10
10",Excepcional,2,Bogota,2025-02-18,2025-02-19
Hotel Windsor House Inn By GEH Suites,COP 315.540,"Puntuación: 8,6
8,6",Fabuloso,2.104,Bogota,2025-02-18,2025-02-19
Las Aguas Experience,COP 105.600,"Puntuación: 8,7
8,7",Fabuloso,37,Bogota,2025-02-18,2025-02-19
Hemma Bogotá Luxury Suites Hotel,COP 201.780,"Puntuación: 8,5
8,5",Muy bien,1.254,Bogota,2025-02-18,2025-02-19
Hotel Bogotá Regency Usaquén,COP 287.000,"Puntuación: 7,9
7,9",Bien,2.169,Bogota,2025-02-18,2025-02-19
Soy Local Usaquen,COP 142.500,"Puntuación: 8,4
8,4",Muy bien,1.227,Bogota,2025-02-18,2025-02-19
Hotel Santafe Real,COP 240.260,"Puntuación: 8,4
8,4",Muy bien,210,Bogota,2025-02-18,2025-02-19
Suites 109 GH Usaquén,COP 231.200,"Puntuación: 9,0
9,0",Fantástico,1.096,Bogota,2025-02-18,2025-02-19
Cassa Luxury Homes,COP 656.820,"Puntuación: 9,2
9,2",Fantástico,639,Bogota,2025-02-18,2025-02-19
Terrazas,COP 102.860,"Puntuación: 8,8
8,8",Fabuloso,2.722,Bogota,2025-02-18,2025-02-19
Palermo Home Bogota & Art Gallery,COP 141.180,"Puntuación: 9,1
9,1",Fantástico,1.624,Bogota,2025-02-18,2025-02-19
Hotel Apartamentos Regency La Feria,COP 234.000,"Puntuación: 8,4
8,4",Muy bien,1.129,Bogota,2025-02-18,2025-02-19
Hostelfc Marly,COP 64.260,"Puntuación: 10
10",Excepcional,3,Bogota,2025-02-19,2025-02-20
Hilton Bogota Corferias,COP 816.640,"Puntuación: 8,7
8,7",Fabuloso,514,Bogota,2025-02-19,2025-02-20
Edificio QO 97,COP 182.060,"Puntuación: 8,8
8,8",Fabuloso,18,Bogota,2025-02-19,2025-02-20
Hotel Madisson Inn Luxury By GEH Suites,COP 312.920,"Puntuación: 8,6
8,6",Fabuloso,3.613,Bogota,2025-02-19,2025-02-20
Tequendama Suites Bogota,COP 353.000,"Puntuación: 8,3
8,3",Muy bien,5.338,Bogota,2025-02-19,2025-02-20
Torre Acqua Lofts - Downtown Bogota,COP 153.440,"Puntuación: 8,8
8,8",Fabuloso,1.339,Bogota,2025-02-19,2025-02-20
Taj 97,COP 206.560,"Puntuación: 8,9
8,9",Fabuloso,81,Bogota,2025-02-19,2025-02-20
HAB Hotel Bogotá,COP 272.660,"Puntuación: 8,5
8,5",Muy bien,3.173,Bogota,2025-02-19,2025-02-20
Embassy On Holidays,COP 104.500,"Puntuación: 7,1
7,1",Bien,3.360,Bogota,2025-02-19,2025-02-20
Lancaster House,COP 221.600,"Puntuación: 8,6
8,6",Fabuloso,2.047,Bogota,2025-02-19,2025-02-20
Hotel en Bogota - Fontana Di Trevi,COP 116.100,"Puntuación: 8,0
8,0",Muy bien,194,Bogota,2025-02-19,2025-02-20
Aw Hotel Ariston Embassy,COP 290.000,"Puntuación: 7,9
7,9",Bien,201,Bogota,2025-02-19,2025-02-20
Hotel Casa de la Luz,COP 144.000,"Puntuación: 7,9
7,9",Bien,812,Bogota,2025-02-19,2025-02-20
