hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
The View Hostel & Lounge,COP 112.000,"Puntuación: 9,6
9,6",Excepcional,94,Cali,2024-11-11,2024-11-12
Hotel Ibis Cali Granada,COP 181.840,"Puntuación: 8,4
8,4",Muy bien,2.126,Cali,2024-11-11,2024-11-12
NH Boulevard del Río Cali,COP 232.680,"Puntuación: 8,7
8,7",Fabuloso,929,Cali,2024-11-11,2024-11-12
Hotel Ariston Cali,COP 63.700,"Puntuación: 5,2
5,2",Puntuación,53,Cali,2024-11-11,2024-11-12
Aparta Hotel Plaza Real Norte,COP 71.280,"Puntuación: 7,8
7,8",Bien,608,Cali,2024-11-11,2024-11-12
TORRE DE CALI - Apartaestudios del piso 6 al 40!,COP 82.500,"Puntuación: 8,4
8,4",Muy bien,314,Cali,2024-11-11,2024-11-12
HOTEL SAN ANTONIO PLAZA,COP 114.760,"Puntuación: 7,8
7,8",Bien,355,Cali,2024-11-11,2024-11-12
La Casa de Adry,COP 37.000,"Puntuación: 8,4
8,4",Muy bien,745,Cali,2024-11-11,2024-11-12
Moonshine Boutique Hostal,COP 90.000,"Puntuación: 9,2
9,2",Fantástico,433,Cali,2024-11-11,2024-11-12
AW Hotel Chipichape Urban,COP 144.000,"Puntuación: 6,0
6,0",Puntuación,2.757,Cali,2024-11-11,2024-11-12
NH Cali Royal,COP 274.680,"Puntuación: 8,0
8,0",Muy bien,2.301,Cali,2024-11-11,2024-11-12
"Hotel Intercontinental Cali, an IHG Hotel",COP 438.100,"Puntuación: 8,6
8,6",Fabuloso,1.043,Cali,2024-11-11,2024-11-12
ARI Hotel,COP 155.000,"Puntuación: 8,8
8,8",Fabuloso,294,Cali,2024-11-11,2024-11-12
Hotel Plaza Norte Cali,COP 90.000,"Puntuación: 7,1
7,1",Bien,248,Cali,2024-11-11,2024-11-12
Aw Hotel Puerta de San Cayetano,COP 95.000,"Puntuación: 7,1
7,1",Bien,87,Cali,2024-11-11,2024-11-12
Sixth House Suite,COP 115.000,"Puntuación: 8,3
8,3",Muy bien,500,Cali,2024-11-11,2024-11-12
HOTEL PLAZA REAL SUR,COP 106.260,"Puntuación: 6,3
6,3",Puntuación,41,Cali,2024-11-11,2024-11-12
TR - Casa Blanca San Antonio,COP 90.000,"Puntuación: 8,4
8,4",Muy bien,13,Cali,2024-11-11,2024-11-12
INGENIO PARK 83 - Apartaestudios,COP 120.000,"Puntuación: 8,4
8,4",Muy bien,278,Cali,2024-11-11,2024-11-12
Hampton by Hilton Cali,COP 290.460,"Puntuación: 8,8
8,8",Fabuloso,1.243,Cali,2024-11-11,2024-11-12
apartaestudios el jardin 2,COP 55.000,"Puntuación: 9,3
9,3",Fantástico,201,Cali,2024-11-11,2024-11-12
Hostal Avanza,COP 60.000,"Puntuación: 8,1
8,1",Muy bien,167,Cali,2024-11-11,2024-11-12
Hotel 14-04,COP 110.000,"Puntuación: 8,5
8,5",Muy bien,490,Cali,2024-11-11,2024-11-12
Hotel El Peñon by Bithotels,COP 237.360,"Puntuación: 8,7
8,7",Fabuloso,1.214,Cali,2024-11-11,2024-11-12
Hotel Brisas De Calima,COP 131.600,"Puntuación: 7,8
7,8",Bien,242,Cali,2024-11-11,2024-11-12
