hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Piedra Luna,COP 183.760,"Puntuación: 9,3
9,3",Fantástico,358,Cali,2025-04-28,2025-04-29
Hotel Intercontinental Cali by IHG,COP 759.920,"Puntuación: 8,7
8,7",Fabuloso,1.034,Cali,2025-04-28,2025-04-29
Apartahotel Kelly,COP 110.000,"Puntuación: 8,1
8,1",Muy bien,235,Cali,2025-04-28,2025-04-29
Hotel Spirito by Spiwak,COP 407.680,"Puntuación: 7,8
7,8",Bien,1.611,Cali,2025-04-28,2025-04-29
Hotel Quinta Norte Chipichape,COP 179.560,"Puntuación: 8,9
8,9",Fabuloso,1.349,Cali,2025-04-28,2025-04-29
Hotel Boutique Ciudad Jardin,COP 245.000,"Puntuación: 8,5
8,5",Muy bien,251,Cali,2025-04-28,2025-04-29
Hotel Savoy,COP 100.000,"Puntuación: 7,9
7,9",Bien,229,Cali,2025-04-28,2025-04-29
Hotel Dann Cali,COP 337.500,"Puntuación: 8,6
8,6",Fabuloso,1.170,Cali,2025-04-28,2025-04-29
NH Boulevard del Río Cali,COP 224.540,"Puntuación: 8,6
8,6",Fabuloso,1.120,Cali,2025-04-28,2025-04-29
Hotel Spiwak Chipichape Cali,COP 518.860,"Puntuación: 8,1
8,1",Muy bien,718,Cali,2025-04-28,2025-04-29
Hotel Toscana Plaza,COP 209.480,"Puntuación: 8,0
8,0",Muy bien,861,Cali,2025-04-28,2025-04-29
Hotel Ibis Cali Granada,COP 235.000,"Puntuación: 8,3
8,3",Muy bien,2.094,Cali,2025-04-28,2025-04-29
Aw Hotel Puerta de San Cayetano (San Antonio),COP 79.200,"Puntuación: 6,6
6,6",Puntuación,40,Cali,2025-04-28,2025-04-29
Granada Luxury Loft,COP 121.600,,,,Cali,2025-04-28,2025-04-29
Edificio Acqualina apto 304,COP 112.000,,,,Cali,2025-04-28,2025-04-29
Edificio Acqualina apto 503,COP 112.000,,,,Cali,2025-04-28,2025-04-29
Edificio Acqualina apto 403,COP 112.000,,,,Cali,2025-04-28,2025-04-29
HOTEl KASA 5TA FRENTE AL ESTADIO,COP 54.200,"Puntuación: 7,9
7,9",Bien,153,Cali,2025-04-28,2025-04-29
Apartamento de lujo limonar 101,COP 99.840,"Puntuación: 9,1
9,1",Fantástico,44,Cali,2025-04-28,2025-04-29
Tru By Hilton Cali Sur,COP 242.160,"Puntuación: 8,8
8,8",Fabuloso,48,Cali,2025-04-28,2025-04-29
Hotel Pasarela AW,COP 96.000,"Puntuación: 6,7
6,7",Puntuación,66,Cali,2025-04-28,2025-04-29
Basic Hotel Centenario by Hoteles MS,COP 171.500,"Puntuación: 8,1
8,1",Muy bien,857,Cali,2025-04-28,2025-04-29
Lujoso Apartamento Granada,COP 109.000,"Puntuación: 9,4
9,4",Fantástico,10,Cali,2025-04-28,2025-04-29
Luxury Studio Con Vista Pance,COP 160.000,"Puntuación: 9,2
9,2",Fantástico,4,Cali,2025-04-28,2025-04-29
Sixth House Suite,COP 106.260,"Puntuación: 8,3
8,3",Muy bien,476,Cali,2025-04-28,2025-04-29
Diagonal Hotel Chipichape,COP 162.000,"Puntuación: 8,6
8,6",Fabuloso,649,Cali,2025-04-28,2025-04-29
Piedra Luna,COP 183.760,"Puntuación: 9,3
9,3",Fantástico,358,Cali,2025-04-29,2025-04-30
