hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Sonesta Hotel Cartagena,,"Puntuación: 7,9
7,9",Bien,3.634,Cartagena,2024-11-11,2024-11-30
Hotel Caribbean Cartagena,,"Puntuación: 8,1
8,1",Muy bien,808,Cartagena,2024-11-11,2024-11-30
Hotel Playa Club,,"Puntuación: 8,0
8,0",Muy bien,1.688,Cartagena,2024-11-11,2024-11-30
ibis Cartagena Marbella,,"Puntuación: 7,8
7,8",Bien,3.819,Cartagena,2024-11-11,2024-11-30
Cartagena El Laguito Apto piso 12 y 15,,"Puntuación: 8,3
8,3",Muy bien,69,Cartagena,2024-11-11,2024-11-30
Apartamento 1101 Edificio Nuevo Conquistador,,"Puntuación: 9,1
9,1",Fantástico,152,Cartagena,2024-11-11,2024-11-30
Apartamento en el Laguito Cartagena,,"Puntuación: 8,6
8,6",Fabuloso,65,Cartagena,2024-11-11,2024-11-30
Hotel Boutique Castillo Ines Maria,,"Puntuación: 8,7
8,7",Fabuloso,1.304,Cartagena,2024-11-11,2024-11-30
Estelar Cartagena de Indias Hotel y Centro de Convenciones,,"Puntuación: 8,8
8,8",Fabuloso,3.474,Cartagena,2024-11-11,2024-11-30
PyEnsa Cartagena,,"Puntuación: 8,0
8,0",Muy bien,187,Cartagena,2024-11-11,2024-11-30
Cozy Apartment in El Laguito,,"Puntuación: 8,6
8,6",Fabuloso,179,Cartagena,2024-11-11,2024-11-30
Apartamento en Cartagena Colombia,,"Puntuación: 8,4
8,4",Muy bien,68,Cartagena,2024-11-11,2024-11-30
Hotel Cartagena DC,,"Puntuación: 7,7
7,7",Bien,451,Cartagena,2024-11-11,2024-11-30
PACARTAGENA Apartamentos - Edif Conquistador,,"Puntuación: 8,7
8,7",Fabuloso,3,Cartagena,2024-11-11,2024-11-30
GHL Corales de Indias,,"Puntuación: 7,8
7,8",Bien,3.758,Cartagena,2024-11-11,2024-11-30
Oz Hotel Cartagena,,"Puntuación: 9,2
9,2",Fantástico,3.537,Cartagena,2024-11-11,2024-11-30
Hotel Abi Inn By GEH Suites,,"Puntuación: 7,8
7,8",Bien,1.171,Cartagena,2024-11-11,2024-11-30
Oz Hotel Luxury,,"Puntuación: 9,2
9,2",Fantástico,3.117,Cartagena,2024-11-11,2024-11-30
Hotel Oceania Cartagena,,"Puntuación: 8,2
8,2",Muy bien,1.640,Cartagena,2024-11-11,2024-11-30
Apartamento 3 Carabelas Cartagena Piso 16,,"Puntuación: 9,0
9,0",Fantástico,29,Cartagena,2024-11-11,2024-11-30
Hotel Zi One Luxury,,"Puntuación: 8,1
8,1",Muy bien,1.948,Cartagena,2024-11-11,2024-11-30
Madisson Boutique Hotel Cartagena,,"Puntuación: 8,4
8,4",Muy bien,1.613,Cartagena,2024-11-11,2024-11-30
ApartaSuite con vista al Laguito-Cartagena,,"Puntuación: 8,4
8,4",Muy bien,34,Cartagena,2024-11-11,2024-11-30
Suite en Getsemaní - POD C,,"Puntuación: 8,7
8,7",Fabuloso,48,Cartagena,2024-11-11,2024-11-30
Alojamiento acogedor en Cartagena piso alto,,"Puntuación: 8,3
8,3",Muy bien,19,Cartagena,2024-11-11,2024-11-30
