hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hostal Viva Mar,COP 65.560,"Puntuación: 7,5
7,5",Bien,52,Cartagena,2025-01-22,2025-01-23
Hotel Blue Crespo,COP 88.000,"Puntuación: 7,9
7,9",Bien,238,Cartagena,2025-01-22,2025-01-23
Hotel La Estrella de David Cartagena,COP 85.600,"Puntuación: 8,8
8,8",Fabuloso,63,Cartagena,2025-01-22,2025-01-23
Amura Apartamentos Cartagena,COP 150.000,"Puntuación: 9,2
9,2",Fantástico,31,Cartagena,2025-01-22,2025-01-23
Polanco Residences,COP 179.100,"Puntuación: 7,8
7,8",Bien,47,Cartagena,2025-01-22,2025-01-23
Hotel CastilloMar,COP 131.680,"Puntuación: 8,1
8,1",Muy bien,979,Cartagena,2025-01-22,2025-01-23
Martinica Hostel,COP 110.000,"Puntuación: 8,3
8,3",Muy bien,88,Cartagena,2025-01-22,2025-01-23
Hostal Casa del Prado,COP 50.000,"Puntuación: 7,5
7,5",Bien,16,Cartagena,2025-01-22,2025-01-23
Hotel Regatta Cartagena,COP 477.680,"Puntuación: 8,0
8,0",Muy bien,1.932,Cartagena,2025-01-22,2025-01-23
Wala beach club,COP 416.500,"Puntuación: 8,4
8,4",Muy bien,866,Cartagena,2025-01-22,2025-01-23
Playa -Boquilla -Apto en Condominio,COP 401.020,"Puntuación: 8,8
8,8",Fabuloso,21,Cartagena,2025-01-22,2025-01-23
Hotel Casa Lopez Getsemaní,COP 132.980,"Puntuación: 7,3
7,3",Bien,52,Cartagena,2025-01-22,2025-01-23
Shekinah House,COP 115.000,"Puntuación: 8,8
8,8",Fabuloso,83,Cartagena,2025-01-22,2025-01-23
Hotel Blue Concept,COP 320.000,"Puntuación: 8,3
8,3",Muy bien,2.565,Cartagena,2025-01-22,2025-01-23
Estudio tipo Loft Amoblado en Bocagrande Cartagena 801A,COP 190.000,"Puntuación: 8,6
8,6",Fabuloso,25,Cartagena,2025-01-22,2025-01-23
DES INDES CARTAGENA,COP 130.000,"Puntuación: 8,8
8,8",Fabuloso,321,Cartagena,2025-01-22,2025-01-23
Apartamento Nuevo Conquistador,COP 180.000,"Puntuación: 7,1
7,1",Bien,558,Cartagena,2025-01-22,2025-01-23
Casa / Hotel El Alcatraz,COP 100.000,"Puntuación: 8,2
8,2",Muy bien,187,Cartagena,2025-01-22,2025-01-23
Hampton by Hilton Cartagena,COP 434.000,"Puntuación: 8,0
8,0",Muy bien,1.585,Cartagena,2025-01-22,2025-01-23
Hotel La Yarolina SAS,COP 97.500,"Puntuación: 8,2
8,2",Muy bien,134,Cartagena,2025-01-22,2025-01-23
"Holiday Inn Cartagena Morros, an IHG Hotel",COP 516.580,"Puntuación: 8,5
8,5",Muy bien,1.715,Cartagena,2025-01-22,2025-01-23
Hotel Marie Real Cartagena,COP 216.160,"Puntuación: 7,5
7,5",Bien,1.777,Cartagena,2025-01-22,2025-01-23
Apt San Basilio,COP 204.000,"Puntuación: 9,7
9,7",Excepcional,3,Cartagena,2025-01-22,2025-01-23
San Martin by Wynwood House,COP 218.920,"Puntuación: 8,3
8,3",Muy bien,18,Cartagena,2025-01-22,2025-01-23
Hotel Rilux Cartagena,COP 376.360,"Puntuación: 8,4
8,4",Muy bien,231,Cartagena,2025-01-22,2025-01-23
