hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
THEE Kashatharn by TH District,COP 342.000,"Puntuación: 8,7
8,7",Fabuloso,854,Chia,2024-11-12,2024-11-13
"Sridonchai Heritage, Night Bazaar Chiang Mai",COP 107.820,"Puntuación: 8,7
8,7",Fabuloso,253,Chia,2024-11-12,2024-11-13
Jira Boutique Residence,COP 118.040,"Puntuación: 7,6
7,6",Bien,103,Chia,2024-11-12,2024-11-13
B Arch House Hotel and Cafe ll NO PARKING ll,COP 89.660,"Puntuación: 7,7
7,7",Bien,21,Chia,2024-11-12,2024-11-13
At the Train Chiang Mai Hotel,COP 124.860,"Puntuación: 8,3
8,3",Muy bien,359,Chia,2024-11-12,2024-11-13
Chiang Mai Waroros Boutique Hotel,COP 161.920,"Puntuación: 7,8
7,8",Bien,181,Chia,2024-11-12,2024-11-13
"Bodhi Serene, Chiang Mai - SHA Extra Plus",COP 311.480,"Puntuación: 8,4
8,4",Muy bien,420,Chia,2024-11-12,2024-11-13
Hotel Sensai Nimman Chiang Mai - Adults Only,COP 848.380,"Puntuación: 9,6
9,6",Excepcional,322,Chia,2024-11-12,2024-11-13
ibis Chiang Mai Nimman Journeyhub,COP 207.960,"Puntuación: 8,8
8,8",Fabuloso,216,Chia,2024-11-12,2024-11-13
Eden Garden Resort,COP 69.420,"Puntuación: 7,3
7,3",Bien,234,Chia,2024-11-12,2024-11-13
Hotel De Nara-SHA Extra Plus,COP 293.080,"Puntuación: 8,1
8,1",Muy bien,1.493,Chia,2024-11-12,2024-11-13
Chanaplace Lanna,COP 162.680,"Puntuación: 8,1
8,1",Muy bien,741,Chia,2024-11-12,2024-11-13
Glory Wabi Sabi Hotel 清迈古城荣耀侘寂酒店,COP 419.340,"Puntuación: 8,6
8,6",Fabuloso,1.265,Chia,2024-11-12,2024-11-13
Darley Hotel Chiangmai,COP 238.340,"Puntuación: 8,5
8,5",Muy bien,377,Chia,2024-11-12,2024-11-13
Novotel Chiangmai Nimman Journeyhub,COP 327.880,"Puntuación: 8,0
8,0",Muy bien,352,Chia,2024-11-12,2024-11-13
S48 Hotel,COP 158.900,"Puntuación: 8,3
8,3",Muy bien,1.700,Chia,2024-11-12,2024-11-13
Noble Place Chiangmai,COP 85.140,"Puntuación: 6,7
6,7",Puntuación,113,Chia,2024-11-12,2024-11-13
WE Valley Hotel,COP 120.100,"Puntuación: 8,4
8,4",Muy bien,639,Chia,2024-11-12,2024-11-13
CREW Hotel,COP 364.060,"Puntuación: 9,1
9,1",Fantástico,1.132,Chia,2024-11-12,2024-11-13
ISTY Hotel -SHA Extra Plus,COP 407.320,"Puntuación: 8,4
8,4",Muy bien,2.758,Chia,2024-11-12,2024-11-13
Cha Chiangmai Luxury,COP 273.560,"Puntuación: 8,2
8,2",Muy bien,12,Chia,2024-11-12,2024-11-13
Kampaeng Ngam Hotel,COP 194.120,"Puntuación: 7,5
7,5",Bien,1.168,Chia,2024-11-12,2024-11-13
Moose Hotel Chiangmai,COP 472.900,"Puntuación: 8,5
8,5",Muy bien,288,Chia,2024-11-12,2024-11-13
Eurana Boutique Hotel,COP 280.900,"Puntuación: 7,9
7,9",Bien,587,Chia,2024-11-12,2024-11-13
Shane Hotel,COP 128.480,"Puntuación: 7,1
7,1",Bien,119,Chia,2024-11-12,2024-11-13
