hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Mi Casa es tu Casa Inn,COP 1.020.000,"Puntuación: 9,4
9,4",Fantástico,109,Chiquinquira,2024-12-25,2024-12-31
Hotel Boutique San Marcos Chiquinquirá,COP 1.593.900,"Puntuación: 8,7
8,7",Fabuloso,225,Chiquinquira,2024-12-25,2024-12-31
Amuya Hostel,COP 840.000,"Puntuación: 9,3
9,3",Fantástico,118,Chiquinquira,2024-12-25,2024-12-31
Santiamen de la Villa,COP 1.728.000,"Puntuación: 8,5
8,5",Muy bien,72,Chiquinquira,2024-12-25,2024-12-31
"Romántica Cabaña con vista a la ciudad, 10 min del Centro",COP 1.860.000,"Puntuación: 9,5
9,5",Excepcional,31,Chiquinquira,2024-12-25,2024-12-31
Hogar en sus manos,COP 332.640,,,,Chiquinquira,2024-12-25,2024-12-31
"Experiencia Única, Glamping de Lujo en Container a Solo 10 Min del Centro",COP 1.920.000,"Puntuación: 9,7
9,7",Excepcional,32,Chiquinquira,2024-12-25,2024-12-31
Cabaña Mandarina,COP 3.600.000,,,,Chiquinquira,2024-12-25,2024-12-31
Casa Adobe Turismo Rural,COP 2.340.000,,,,Chiquinquira,2024-12-25,2024-12-31
Hostal Agroturistico Guadalupe,COP 960.000,"Puntuación: 9,7
9,7",Excepcional,22,Chiquinquira,2024-12-25,2024-12-31
Hotel Campestre Villa Teresa,COP 420.000,"Puntuación: 9,2
9,2",Fantástico,6,Chiquinquira,2024-12-25,2024-12-31
FINCA EL PARAISO,COP 2.730.000,,,,Chiquinquira,2024-12-25,2024-12-31
"Hospedaje en Saboyá, a 15 min De CHIQUINQUIRA Boy",COP 540.000,"Puntuación: 7,4
7,4",Bien,25,Chiquinquira,2024-12-25,2024-12-31
Finca el Paraíso,COP 2.730.000,,,,Chiquinquira,2024-12-25,2024-12-31
Alojamiento en cabaña,COP 729.000,"Puntuación: 9,0
9,0",Fantástico,3,Chiquinquira,2024-12-25,2024-12-31
Hotel Villa Isabella Esperanza de Tinjacá Boyacá,COP 1.500.000,"Puntuación: 8,6
8,6",Fabuloso,39,Chiquinquira,2024-12-25,2024-12-31
Club Recreativo Las Guitarras,COP 410.040,"Puntuación: 9,2
9,2",Fantástico,29,Chiquinquira,2024-12-25,2024-12-31
Glamping/BBQ Susa Cun,COP 1.630.000,"Puntuación: 9,7
9,7",Excepcional,43,Chiquinquira,2024-12-25,2024-12-31
"Casa ovejas negras - Tranquilidad en el campo, cerca al PARQUE ECOTURISTUCO PIEDRA COLGADA",COP 729.000,"Puntuación: 8,1
8,1",Muy bien,23,Chiquinquira,2024-12-25,2024-12-31
Glamping Guarupaque,COP 2.256.000,,,,Chiquinquira,2024-12-25,2024-12-31
Casa Entre Pinos susa,COP 795.200,"Puntuación: 10
10",Excepcional,1,Chiquinquira,2024-12-25,2024-12-31
Chalet Casa de Teja,COP 1.950.000,"Puntuación: 9,4
9,4",Fantástico,7,Chiquinquira,2024-12-25,2024-12-31
Mirador de la cuesta,COP 1.200.000,"Puntuación: 9,0
9,0",Fantástico,2,Chiquinquira,2024-12-25,2024-12-31
Glamping KATAGU,COP 2.100.000,,,,Chiquinquira,2024-12-25,2024-12-31
Casa de Campo - Tinjaca Boyacá,COP 4.500.000,,,,Chiquinquira,2024-12-25,2024-12-31
