hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Cabaña El peñol Guatape,,,,,"El peñol, guatapé",2024-11-14,2024-11-20
Hermoso apartmento con La mejor vista el peñol guatape,COP 765.000,"Puntuación: 9,3
9,3",Fantástico,69,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Bicentenario Rionegro,COP 840.000,"Puntuación: 7,9
7,9",Bien,3.235,"El peñol, guatapé",2024-11-14,2024-11-20
Casa Rose Hotel,COP 1.730.520,"Puntuación: 9,5
9,5",Excepcional,375,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel San Fernandos Plaza,COP 600.000,"Puntuación: 8,7
8,7",Fabuloso,170,"El peñol, guatapé",2024-11-14,2024-11-20
Hostal El Hangar,COP 996.000,"Puntuación: 8,4
8,4",Muy bien,2.085,"El peñol, guatapé",2024-11-14,2024-11-20
Gran Hotel San Rafael,COP 360.000,"Puntuación: 8,4
8,4",Muy bien,11,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel La Aldea del Oriente,COP 792.300,"Puntuación: 8,0
8,0",Muy bien,174,"El peñol, guatapé",2024-11-14,2024-11-20
Movich Hotel Las Lomas,COP 4.017.600,"Puntuación: 8,6
8,6",Fabuloso,2.394,"El peñol, guatapé",2024-11-14,2024-11-20
Soy Local Guatape,COP 994.120,"Puntuación: 8,4
8,4",Muy bien,2.915,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel & Golf Isak Aeropuerto,COP 1.350.000,"Puntuación: 8,9
8,9",Fabuloso,1.587,"El peñol, guatapé",2024-11-14,2024-11-20
Oak Tree house,COP 641.900,"Puntuación: 8,9
8,9",Fabuloso,1.500,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Silver Guarne,COP 1.080.000,"Puntuación: 8,5
8,5",Muy bien,77,"El peñol, guatapé",2024-11-14,2024-11-20
Hospedaje Pa'Gaïa,COP 270.000,"Puntuación: 9,6
9,6",Excepcional,20,"El peñol, guatapé",2024-11-14,2024-11-20
Lake View Hostel,COP 840.000,"Puntuación: 8,6
8,6",Fabuloso,853,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Plaza El Santuario,COP 1.080.000,"Puntuación: 7,9
7,9",Bien,79,"El peñol, guatapé",2024-11-14,2024-11-20
Finca Hotel Zona Franca,COP 795.000,"Puntuación: 8,2
8,2",Muy bien,972,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Villa Colonia,COP 1.248.900,"Puntuación: 8,2
8,2",Muy bien,126,"El peñol, guatapé",2024-11-14,2024-11-20
La Perla Negra - Black Pearl Eco Hostel,COP 1.085.000,"Puntuación: 9,6
9,6",Excepcional,186,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Verony Guatape,COP 1.993.080,"Puntuación: 8,2
8,2",Muy bien,1.388,"El peñol, guatapé",2024-11-14,2024-11-20
Alfahar Hotel,COP 1.500.000,"Puntuación: 9,6
9,6",Excepcional,58,"El peñol, guatapé",2024-11-14,2024-11-20
Casa 3 Cocorna,COP 600.000,"Puntuación: 8,8
8,8",Fabuloso,53,"El peñol, guatapé",2024-11-14,2024-11-20
EUCALYPTO CHALET,COP 2.700.000,"Puntuación: 9,8
9,8",Excepcional,55,"El peñol, guatapé",2024-11-14,2024-11-20
casa 4 cocorna,COP 600.000,"Puntuación: 8,1
8,1",Muy bien,21,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Ocaso Marinilla,COP 720.000,"Puntuación: 9,1
9,1",Fantástico,53,"El peñol, guatapé",2024-11-14,2024-11-20
Hotel Nova El Peñol,COP 1.356.000,"Puntuación: 9,3
9,3",Fantástico,42,"El peñol, guatapé",2024-11-14,2024-11-20
