hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Vivanti Resort,COP 250.040,"Puntuación: 9,0
9,0",Fantástico,150,Guatape,2025-04-11,2025-04-12
Hotel Brisas De Guatape,COP 72.800,"Puntuación: 9,5
9,5",Excepcional,6,Guatape,2025-04-11,2025-04-12
Hotel Los Recuerdos,COP 330.000,"Puntuación: 8,3
8,3",Muy bien,893,Guatape,2025-04-11,2025-04-12
The Boato Hotel,COP 343.000,"Puntuación: 9,0
9,0",Fantástico,1.117,Guatape,2025-04-11,2025-04-12
Soy Local Guatape,COP 109.640,"Puntuación: 8,1
8,1",Muy bien,2.584,Guatape,2025-04-11,2025-04-12
"Apto frente al Malecón, Ubicación fantástica, Vista",COP 93.600,"Puntuación: 8,4
8,4",Muy bien,77,Guatape,2025-04-11,2025-04-12
Sencillo apartamento en Guatape,COP 157.480,"Puntuación: 9,5
9,5",Excepcional,44,Guatape,2025-04-11,2025-04-12
Hotel La Avenida,COP 55.000,"Puntuación: 8,0
8,0",Muy bien,141,Guatape,2025-04-11,2025-04-12
Luxé Cabañas,COP 501.300,"Puntuación: 8,2
8,2",Muy bien,1.031,Guatape,2025-04-11,2025-04-12
"Aptos y Apartaestudios frente al Malecón y el Embalse, Zona Gastronómica, a 8 minutos de la Piedra del Peñol, TODO CERCA!!!",COP 93.600,"Puntuación: 8,6
8,6",Fabuloso,160,Guatape,2025-04-11,2025-04-12
Hotel Real Guatapé,COP 93.900,"Puntuación: 8,5
8,5",Muy bien,568,Guatape,2025-04-11,2025-04-12
La Pausa Hotelbistro,COP 471.960,"Puntuación: 9,6
9,6",Excepcional,385,Guatape,2025-04-11,2025-04-12
Casa Finca Hotel Loma Encantada,COP 114.760,"Puntuación: 7,6
7,6",Bien,5,Guatape,2025-04-11,2025-04-12
Hotel Portobelo Guatape,COP 130.900,"Puntuación: 9,0
9,0",Fantástico,121,Guatape,2025-04-11,2025-04-12
"Apto Nuevo, Tranquilo, Bonito, 5 min Plaza Principal",COP 117.000,"Puntuación: 9,4
9,4",Fantástico,34,Guatape,2025-04-11,2025-04-12
Porto Marina Hotel,COP 464.960,"Puntuación: 8,8
8,8",Fabuloso,736,Guatape,2025-04-11,2025-04-12
Hotel Las Vegas,COP 89.000,"Puntuación: 7,7
7,7",Bien,1.058,Guatape,2025-04-11,2025-04-12
Rooca Guatape,COP 300.000,"Puntuación: 8,8
8,8",Fabuloso,55,Guatape,2025-04-11,2025-04-12
Hotel Santorini,COP 270.000,"Puntuación: 8,3
8,3",Muy bien,708,Guatape,2025-04-11,2025-04-12
The Rock Guatape,COP 194.400,"Puntuación: 9,0
9,0",Fantástico,990,Guatape,2025-04-11,2025-04-12
"Apto Nuevo, Tranquilo, Bonito, 5 min Plaza Principal",COP 117.000,"Puntuación: 9,0
9,0",Fantástico,3,Guatape,2025-04-11,2025-04-12
Tau House,COP 828.760,"Puntuación: 9,4
9,4",Fantástico,367,Guatape,2025-04-11,2025-04-12
Descanso Bajo La Piedra Del Peñol,COP 159.800,"Puntuación: 9,6
9,6",Excepcional,205,Guatape,2025-04-11,2025-04-12
Balcones de la Casona,COP 65.000,"Puntuación: 9,2
9,2",Fantástico,213,Guatape,2025-04-11,2025-04-12
Hotel Las Guacamayas Guatapé,COP 100.000,"Puntuación: 8,2
8,2",Muy bien,9,Guatape,2025-04-11,2025-04-12
Hotel Los Recuerdos,COP 380.000,"Puntuación: 8,3
8,3",Muy bien,893,Guatape,2025-04-12,2025-04-13
Viajero Guatapé Hostel & Lake Club,COP 266.320,"Puntuación: 9,1
9,1",Fantástico,333,Guatape,2025-04-12,2025-04-13
Soy Local Guatape,COP 111.780,"Puntuación: 8,1
8,1",Muy bien,2.584,Guatape,2025-04-12,2025-04-13
Oak Tree house,COP 99.800,"Puntuación: 8,8
8,8",Fabuloso,1.328,Guatape,2025-04-12,2025-04-13
Hotel La Magdalena Adult Only,COP 480.000,"Puntuación: 9,4
9,4",Fantástico,195,Guatape,2025-04-12,2025-04-13
Casa Finca Hotel Loma Encantada,COP 114.760,"Puntuación: 7,6
7,6",Bien,5,Guatape,2025-04-12,2025-04-13
"The Brown, Guatape, Autograph Collection",COP 1.195.640,"Puntuación: 8,9
8,9",Fabuloso,296,Guatape,2025-04-12,2025-04-13
Hotel Santorini,COP 270.000,"Puntuación: 8,3
8,3",Muy bien,708,Guatape,2025-04-12,2025-04-13
Vivanti Resort,COP 913.260,"Puntuación: 9,0
9,0",Fantástico,150,Guatape,2025-04-12,2025-04-13
The Rock Guatape,COP 216.000,"Puntuación: 9,0
9,0",Fantástico,990,Guatape,2025-04-12,2025-04-13
MYLOS Hotel Boutique,COP 880.000,"Puntuación: 7,8
7,8",Bien,13,Guatape,2025-04-12,2025-04-13
Rooca Guatape,COP 400.000,"Puntuación: 8,8
8,8",Fabuloso,55,Guatape,2025-04-12,2025-04-13
Lindo apartamento en Guatapé,COP 175.000,"Puntuación: 9,2
9,2",Fantástico,64,Guatape,2025-04-12,2025-04-13
The Boato Hotel,COP 760.000,"Puntuación: 9,0
9,0",Fantástico,1.117,Guatape,2025-04-12,2025-04-13
Porto Marina Hotel,COP 850.020,"Puntuación: 8,8
8,8",Fabuloso,736,Guatape,2025-04-12,2025-04-13
La Pausa Hotelbistro,COP 817.840,"Puntuación: 9,6
9,6",Excepcional,385,Guatape,2025-04-12,2025-04-13
Bethel Lozana Guatape,COP 634.500,"Puntuación: 8,6
8,6",Fabuloso,72,Guatape,2025-04-12,2025-04-13
Tau House,COP 828.760,"Puntuación: 9,4
9,4",Fantástico,367,Guatape,2025-04-12,2025-04-13
Hotel Real Guatapé,COP 134.200,"Puntuación: 8,5
8,5",Muy bien,568,Guatape,2025-04-12,2025-04-13
Hotel Estaciones,COP 230.000,"Puntuación: 8,4
8,4",Muy bien,553,Guatape,2025-04-12,2025-04-13
BubbleSky Glamping Guatapé,COP 653.680,"Puntuación: 8,9
8,9",Fabuloso,505,Guatape,2025-04-12,2025-04-13
Jordan Hotel Boutique,COP 305.800,"Puntuación: 9,6
9,6",Excepcional,355,Guatape,2025-04-12,2025-04-13
Hotel Las Vegas,COP 129.000,"Puntuación: 7,7
7,7",Bien,1.058,Guatape,2025-04-12,2025-04-13
"Aptos y Apartaestudios frente al Malecón y el Embalse, Zona Gastronómica, a 8 minutos de la Piedra del Peñol, TODO CERCA!!!",COP 117.000,"Puntuación: 8,6
8,6",Fabuloso,160,Guatape,2025-04-12,2025-04-13
Atma Villas,COP 844.620,"Puntuación: 8,7
8,7",Fabuloso,114,Guatape,2025-04-12,2025-04-13
The Boato Hotel,COP 104.400,"Puntuación: 9,0
9,0",Fantástico,1.117,Guatape,2025-04-13,2025-04-14
Hotel Los Recuerdos,COP 380.000,"Puntuación: 8,3
8,3",Muy bien,893,Guatape,2025-04-13,2025-04-14
Viajero Guatapé Hostel & Lake Club,COP 254.440,"Puntuación: 9,1
9,1",Fantástico,333,Guatape,2025-04-13,2025-04-14
Hotel Campestre Alto lindo en Guatapé,COP 147.840,"Puntuación: 8,6
8,6",Fabuloso,5,Guatape,2025-04-13,2025-04-14
Soy Local Guatape,COP 100.180,"Puntuación: 8,1
8,1",Muy bien,2.584,Guatape,2025-04-13,2025-04-14
"The Brown, Guatape, Autograph Collection",COP 955.640,"Puntuación: 8,9
8,9",Fabuloso,296,Guatape,2025-04-13,2025-04-14
GRETEL CHALETS SUIZO,COP 462.840,"Puntuación: 9,5
9,5",Excepcional,129,Guatape,2025-04-13,2025-04-14
Guatapé Country House Hotel,COP 129.160,"Puntuación: 9,3
9,3",Fantástico,353,Guatape,2025-04-13,2025-04-14
"Cozy escape, lake view",COP 135.000,"Puntuación: 8,0
8,0",Muy bien,5,Guatape,2025-04-13,2025-04-14
La Pausa Hotelbistro,COP 580.320,"Puntuación: 9,6
9,6",Excepcional,385,Guatape,2025-04-13,2025-04-14
Hotel La Magdalena Adult Only,COP 480.000,"Puntuación: 9,4
9,4",Fantástico,195,Guatape,2025-04-13,2025-04-14
Mumu by Bernalo Hotels,COP 380.160,"Puntuación: 8,5
8,5",Muy bien,694,Guatape,2025-04-13,2025-04-14
Descanso Bajo La Piedra Del Peñol,COP 170.000,"Puntuación: 9,6
9,6",Excepcional,205,Guatape,2025-04-13,2025-04-14
Casa Finca Hotel Loma Encantada,COP 114.760,"Puntuación: 7,6
7,6",Bien,5,Guatape,2025-04-13,2025-04-14
Hotel Santorini,COP 270.000,"Puntuación: 8,3
8,3",Muy bien,708,Guatape,2025-04-13,2025-04-14
MYLOS Hotel Boutique,COP 880.000,"Puntuación: 7,8
7,8",Bien,13,Guatape,2025-04-13,2025-04-14
Hotel Las Vegas,COP 96.000,"Puntuación: 7,7
7,7",Bien,1.058,Guatape,2025-04-13,2025-04-14
Porto Marina Hotel,COP 850.020,"Puntuación: 8,8
8,8",Fabuloso,736,Guatape,2025-04-13,2025-04-14
The Rock Guatape,COP 216.000,"Puntuación: 9,0
9,0",Fantástico,990,Guatape,2025-04-13,2025-04-14
Hotel Guatatur,COP 148.760,"Puntuación: 7,9
7,9",Bien,817,Guatape,2025-04-13,2025-04-14
Hotel Real Guatapé,COP 148.780,"Puntuación: 8,5
8,5",Muy bien,568,Guatape,2025-04-13,2025-04-14
Hotel Spa Bliss Guatape,COP 155.240,"Puntuación: 8,8
8,8",Fabuloso,36,Guatape,2025-04-13,2025-04-14
Cottage on the Lake - Cabaña privada - Guatapé - Jacuzzi,COP 800.000,"Puntuación: 9,3
9,3",Fantástico,13,Guatape,2025-04-13,2025-04-14
Tau House,COP 828.760,"Puntuación: 9,4
9,4",Fantástico,367,Guatape,2025-04-13,2025-04-14
Hotel Portobelo Guatape,COP 238.000,"Puntuación: 9,0
9,0",Fantástico,121,Guatape,2025-04-13,2025-04-14
Hotel Los Recuerdos,COP 380.000,"Puntuación: 8,3
8,3",Muy bien,893,Guatape,2025-04-14,2025-04-15
Hotel Brisas De Guatape,COP 72.800,"Puntuación: 9,5
9,5",Excepcional,6,Guatape,2025-04-14,2025-04-15
Viajero Guatapé Hostel & Lake Club,COP 233.640,"Puntuación: 9,1
9,1",Fantástico,333,Guatape,2025-04-14,2025-04-15
"The Brown, Guatape, Autograph Collection",COP 955.640,"Puntuación: 8,9
8,9",Fabuloso,296,Guatape,2025-04-14,2025-04-15
Guatapé Country House Hotel,COP 136.140,"Puntuación: 9,3
9,3",Fantástico,353,Guatape,2025-04-14,2025-04-15
"Aptos y Apartaestudios frente al Malecón y el Embalse, Zona Gastronómica, a 8 minutos de la Piedra del Peñol, TODO CERCA!!!",COP 117.000,"Puntuación: 8,6
8,6",Fabuloso,160,Guatape,2025-04-14,2025-04-15
"Cozy escape, lake view",COP 135.000,"Puntuación: 8,0
8,0",Muy bien,5,Guatape,2025-04-14,2025-04-15
Soy Local Guatape,COP 111.780,"Puntuación: 8,1
8,1",Muy bien,2.584,Guatape,2025-04-14,2025-04-15
Casa Finca Hotel Loma Encantada,COP 114.760,"Puntuación: 7,6
7,6",Bien,5,Guatape,2025-04-14,2025-04-15
Mumu by Bernalo Hotels,COP 380.160,"Puntuación: 8,5
8,5",Muy bien,694,Guatape,2025-04-14,2025-04-15
Jordan Hotel Boutique,COP 244.600,"Puntuación: 9,6
9,6",Excepcional,355,Guatape,2025-04-14,2025-04-15
The Boato Hotel,COP 726.000,"Puntuación: 9,0
9,0",Fantástico,1.117,Guatape,2025-04-14,2025-04-15
Hotel Santorini,COP 290.000,"Puntuación: 8,3
8,3",Muy bien,708,Guatape,2025-04-14,2025-04-15
