hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
RG33 ApartaSuites,COP 293.260,"Puntuación: 10
10",Excepcional,6,Medellin,2024-11-09,2024-11-10
Hotel Suite Comfort,COP 202.500,"Puntuación: 8,4
8,4",Muy bien,852,Medellin,2024-11-09,2024-11-10
Stanza Hotel Medellin,COP 127.620,"Puntuación: 7,6
7,6",Bien,1.051,Medellin,2024-11-09,2024-11-10
Rivière Boutique Hotel,COP 117.000,"Puntuación: 7,8
7,8",Bien,881,Medellin,2024-11-09,2024-11-10
Mandala Hotel Belen,COP 108.000,"Puntuación: 7,8
7,8",Bien,1.085,Medellin,2024-11-09,2024-11-10
Hotel Gran Imperio,COP 81.840,"Puntuación: 7,0
7,0",Bien,1.701,Medellin,2024-11-09,2024-11-10
Hotel Park10,COP 344.580,"Puntuación: 8,5
8,5",Muy bien,939,Medellin,2024-11-09,2024-11-10
Hotel Street 50 Estadio,COP 128.000,"Puntuación: 8,6
8,6",Fabuloso,280,Medellin,2024-11-09,2024-11-10
El Oscar Hotel,COP 126.720,"Puntuación: 7,8
7,8",Bien,243,Medellin,2024-11-09,2024-11-10
Poblado Guest House,COP 146.260,"Puntuación: 8,8
8,8",Fabuloso,1.343,Medellin,2024-11-09,2024-11-10
Hotel Colombia Avenida,COP 80.000,"Puntuación: 7,9
7,9",Bien,905,Medellin,2024-11-09,2024-11-10
MANGATA LIVING,COP 94.500,"Puntuación: 7,8
7,8",Bien,577,Medellin,2024-11-09,2024-11-10
Hotel Casa Malibú,COP 87.620,"Puntuación: 7,6
7,6",Bien,3.053,Medellin,2024-11-09,2024-11-10
Recinto68,COP 187.720,"Puntuación: 9,1
9,1",Fantástico,79,Medellin,2024-11-09,2024-11-10
Hotel Villa Real,COP 77.760,"Puntuación: 6,9
6,9",Puntuación,1.946,Medellin,2024-11-09,2024-11-10
Green Hotel Natural Medellin,COP 69.840,"Puntuación: 6,3
6,3",Puntuación,137,Medellin,2024-11-09,2024-11-10
HOTEL BALI AT POBLADO,COP 118.800,"Puntuación: 6,7
6,7",Puntuación,517,Medellin,2024-11-09,2024-11-10
Hotel Palermo Real,COP 135.000,"Puntuación: 7,9
7,9",Bien,512,Medellin,2024-11-09,2024-11-10
Estadio Apartamentos,COP 120.000,"Puntuación: 8,1
8,1",Muy bien,74,Medellin,2024-11-09,2024-11-10
APARTAHOTEL ESTADIO GOLD,COP 90.000,"Puntuación: 7,9
7,9",Bien,41,Medellin,2024-11-09,2024-11-10
Cloud9 Hostel,COP 85.000,"Puntuación: 8,7
8,7",Fabuloso,1.219,Medellin,2024-11-09,2024-11-10
Mandala Hotel Medellin,COP 95.240,"Puntuación: 7,7
7,7",Bien,1.166,Medellin,2024-11-09,2024-11-10
Hotel Casa Florida 70 Medellin,COP 121.500,"Puntuación: 7,5
7,5",Bien,111,Medellin,2024-11-09,2024-11-10
"Cozy studio in Poblado, parking, NO FEE 1107",COP 139.000,"Puntuación: 9,4
9,4",Fantástico,14,Medellin,2024-11-09,2024-11-10
Luum Casa Hotel Manila,COP 194.400,"Puntuación: 8,1
8,1",Muy bien,564,Medellin,2024-11-09,2024-11-10
