hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Ayenda 1136 MH,COP 133.000,"Puntuación: 7,6
7,6",Bien,358,PEREIRA,2025-01-20,2025-01-21
Hotel Pereira Central,COP 63.720,"Puntuación: 7,2
7,2",Bien,22,PEREIRA,2025-01-20,2025-01-21
Hotel Dibeni Pereira,COP 110.000,"Puntuación: 7,6
7,6",Bien,1.231,PEREIRA,2025-01-20,2025-01-21
Hotel Condina Pereira,COP 81.000,"Puntuación: 6,9
6,9",Puntuación,679,PEREIRA,2025-01-20,2025-01-21
Hotel Coffee Real Pereira,COP 72.100,"Puntuación: 6,7
6,7",Puntuación,389,PEREIRA,2025-01-20,2025-01-21
Hotel Agata Boutique pinares Pereira,COP 138.420,"Puntuación: 8,8
8,8",Fabuloso,38,PEREIRA,2025-01-20,2025-01-21
Ecohotel La Casona Pereira,COP 76.500,"Puntuación: 7,4
7,4",Bien,815,PEREIRA,2025-01-20,2025-01-21
Hotel Castellón Plaza,COP 48.200,"Puntuación: 7,1
7,1",Bien,175,PEREIRA,2025-01-20,2025-01-21
Hotel Soratama,COP 344.000,"Puntuación: 8,8
8,8",Fabuloso,2.014,PEREIRA,2025-01-20,2025-01-21
Hotel Casandina,COP 80.000,,,,PEREIRA,2025-01-20,2025-01-21
Ecohotel Guaduales Pereira,COP 103.500,"Puntuación: 8,1
8,1",Muy bien,472,PEREIRA,2025-01-20,2025-01-21
M1145 Aparta Loft,COP 63.000,"Puntuación: 8,2
8,2",Muy bien,633,PEREIRA,2025-01-20,2025-01-21
Hotel Go Pereira,COP 127.500,"Puntuación: 7,0
7,0",Bien,819,PEREIRA,2025-01-20,2025-01-21
Habitat Suites Hotel,COP 210.920,"Puntuación: 8,3
8,3",Muy bien,743,PEREIRA,2025-01-20,2025-01-21
HOTEL CATALUÑA - SOLUCIONES HOTELERAs,COP 132.540,"Puntuación: 8,8
8,8",Fabuloso,934,PEREIRA,2025-01-20,2025-01-21
Santorini Apartamentos Amoblados,COP 160.000,"Puntuación: 8,0
8,0",Muy bien,254,PEREIRA,2025-01-20,2025-01-21
ALMA ECO DOMO,COP 440.000,,,,PEREIRA,2025-01-20,2025-01-21
Hotel Palo Grande CF Pereira,COP 119.000,"Puntuación: 8,8
8,8",Fabuloso,300,PEREIRA,2025-01-20,2025-01-21
Hotel Plaza Real Pereira,COP 64.800,"Puntuación: 7,0
7,0",Bien,59,PEREIRA,2025-01-20,2025-01-21
Movich Hotel de Pereira,COP 505.600,"Puntuación: 9,0
9,0",Fantástico,1.650,PEREIRA,2025-01-20,2025-01-21
Hotel Inter del Café,COP 102.000,"Puntuación: 7,4
7,4",Bien,297,PEREIRA,2025-01-20,2025-01-21
Hotel Castilla Real,COP 269.020,"Puntuación: 9,3
9,3",Fantástico,524,PEREIRA,2025-01-20,2025-01-21
Hotel Tangara,COP 109.200,"Puntuación: 7,6
7,6",Bien,993,PEREIRA,2025-01-20,2025-01-21
Hotel paradise del cafe,COP 160.000,"Puntuación: 8,6
8,6",Fabuloso,1.396,PEREIRA,2025-01-20,2025-01-21
GHL Hotel Abadia Plaza,COP 299.000,"Puntuación: 8,7
8,7",Fabuloso,872,PEREIRA,2025-01-20,2025-01-21
Ayenda 1136 MH,COP 132.820,"Puntuación: 7,6
7,6",Bien,358,PEREIRA,2025-01-21,2025-01-22
Hotel Dibeni Pereira,COP 110.000,"Puntuación: 7,6
7,6",Bien,1.231,PEREIRA,2025-01-21,2025-01-22
Ecohotel La Casona Pereira,COP 76.500,"Puntuación: 7,4
7,4",Bien,815,PEREIRA,2025-01-21,2025-01-22
Coliving La Rebeca Pereira,COP 140.800,"Puntuación: 8,5
8,5",Muy bien,161,PEREIRA,2025-01-21,2025-01-22
Ecohotel Guaduales Pereira,COP 112.500,"Puntuación: 8,1
8,1",Muy bien,472,PEREIRA,2025-01-21,2025-01-22
Hotel Agata Boutique pinares Pereira,COP 138.420,"Puntuación: 8,8
8,8",Fabuloso,38,PEREIRA,2025-01-21,2025-01-22
Hotel Coffee Real Pereira,COP 80.100,"Puntuación: 6,7
6,7",Puntuación,389,PEREIRA,2025-01-21,2025-01-22
Sonesta Hotel Pereira,COP 440.000,"Puntuación: 9,0
9,0",Fantástico,1.661,PEREIRA,2025-01-21,2025-01-22
Hotel Soratama,COP 344.000,"Puntuación: 8,8
8,8",Fabuloso,2.014,PEREIRA,2025-01-21,2025-01-22
Hotel Tangara,COP 109.200,"Puntuación: 7,6
7,6",Bien,993,PEREIRA,2025-01-21,2025-01-22
Hotel Palo Grande CF Pereira,COP 119.000,"Puntuación: 8,8
8,8",Fabuloso,300,PEREIRA,2025-01-21,2025-01-22
Hotel paradise del cafe,COP 160.000,"Puntuación: 8,6
8,6",Fabuloso,1.396,PEREIRA,2025-01-21,2025-01-22
Movich Hotel de Pereira,COP 505.600,"Puntuación: 9,0
9,0",Fantástico,1.650,PEREIRA,2025-01-21,2025-01-22
M1145 Aparta Loft,COP 72.000,"Puntuación: 8,2
8,2",Muy bien,633,PEREIRA,2025-01-21,2025-01-22
HOTEL CATALUÑA - SOLUCIONES HOTELERAs,COP 162.460,"Puntuación: 8,8
8,8",Fabuloso,934,PEREIRA,2025-01-21,2025-01-22
Hotel Go Pereira,COP 127.500,"Puntuación: 7,0
7,0",Bien,819,PEREIRA,2025-01-21,2025-01-22
Hotel San Fermin Pereira,COP 130.000,"Puntuación: 8,8
8,8",Fabuloso,469,PEREIRA,2025-01-21,2025-01-22
Hotel Suite Center Pereira,COP 116.080,"Puntuación: 8,0
8,0",Muy bien,864,PEREIRA,2025-01-21,2025-01-22
Hotel Condina Pereira,COP 81.000,"Puntuación: 6,9
6,9",Puntuación,679,PEREIRA,2025-01-21,2025-01-22
Ayenda 1120 Hotel Comercial,COP 80.060,"Puntuación: 6,9
6,9",Puntuación,510,PEREIRA,2025-01-21,2025-01-22
El Gran Hotel de Pereira,COP 252.160,"Puntuación: 8,3
8,3",Muy bien,844,PEREIRA,2025-01-21,2025-01-22
Hotel Simón Plaza,COP 127.500,"Puntuación: 8,1
8,1",Muy bien,657,PEREIRA,2025-01-21,2025-01-22
Hotel Spa La Colina,COP 979.000,"Puntuación: 9,1
9,1",Fantástico,418,PEREIRA,2025-01-21,2025-01-22
Hotel Otún Plaza Pereira,COP 110.500,"Puntuación: 6,8
6,8",Puntuación,70,PEREIRA,2025-01-21,2025-01-22
Hotel Cafetto,COP 110.000,"Puntuación: 8,6
8,6",Fabuloso,310,PEREIRA,2025-01-21,2025-01-22
