hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Apartamentos Turisticos In Di Morgan's Canon,COP 244.140,"Puntuación: 8,1
8,1",Muy bien,1.011,San Andres,2024-11-08,2024-11-09
Azure Lofts & Pool,COP 578.000,"Puntuación: 8,2
8,2",Muy bien,184,San Andres,2024-11-08,2024-11-09
Oasis Hotel,COP 238.020,"Puntuación: 8,2
8,2",Muy bien,979,San Andres,2024-11-08,2024-11-09
Casa Hostel San Andres,COP 50.000,"Puntuación: 7,8
7,8",Bien,583,San Andres,2024-11-08,2024-11-09
Holiday Sai Hotel,COP 202.320,"Puntuación: 8,2
8,2",Muy bien,537,San Andres,2024-11-08,2024-11-09
Hotel Molino de Viento,COP 291.840,"Puntuación: 7,9
7,9",Bien,516,San Andres,2024-11-08,2024-11-09
Prixma Hotel,COP 306.000,"Puntuación: 8,7
8,7",Fabuloso,281,San Andres,2024-11-08,2024-11-09
POSADA NATIVA MISS ETHEL,COP 107.200,"Puntuación: 9,2
9,2",Fantástico,73,San Andres,2024-11-08,2024-11-09
Posada Miss Anibel Central Town,COP 187.600,"Puntuación: 9,4
9,4",Fantástico,58,San Andres,2024-11-08,2024-11-09
Hotel Nomadic Design,COP 230.380,"Puntuación: 8,6
8,6",Fabuloso,324,San Andres,2024-11-08,2024-11-09
WH HOTEL,COP 403.220,"Puntuación: 8,6
8,6",Fabuloso,1.121,San Andres,2024-11-08,2024-11-09
Apartahotel Plaza,COP 238.020,"Puntuación: 8,1
8,1",Muy bien,672,San Andres,2024-11-08,2024-11-09
Apartahotel Marbella,COP 198.920,"Puntuación: 7,9
7,9",Bien,721,San Andres,2024-11-08,2024-11-09
Alojamiento San Martín,COP 180.000,"Puntuación: 8,2
8,2",Muy bien,1.093,San Andres,2024-11-08,2024-11-09
Hospedaje Solymar Sarie Bay,COP 190.000,"Puntuación: 9,4
9,4",Fantástico,147,San Andres,2024-11-08,2024-11-09
Bay Winds Inn,COP 89.280,"Puntuación: 7,4
7,4",Bien,13,San Andres,2024-11-08,2024-11-09
Posada Cocos Place,COP 136.000,"Puntuación: 8,0
8,0",Muy bien,562,San Andres,2024-11-08,2024-11-09
Hotels 111,COP 437.260,"Puntuación: 9,4
9,4",Fantástico,529,San Andres,2024-11-08,2024-11-09
Apartahotel Caribe Diez,COP 184.500,"Puntuación: 8,5
8,5",Muy bien,637,San Andres,2024-11-08,2024-11-09
Villa Sarie Bay,COP 102.600,"Puntuación: 7,5
7,5",Bien,881,San Andres,2024-11-08,2024-11-09
Borabora Hotel,COP 226.120,"Puntuación: 8,2
8,2",Muy bien,398,San Andres,2024-11-08,2024-11-09
Hotel Grand Caribe,COP 300.000,"Puntuación: 8,6
8,6",Fabuloso,1.479,San Andres,2024-11-08,2024-11-09
Miss Yasmin Place,COP 94.500,"Puntuación: 8,4
8,4",Muy bien,75,San Andres,2024-11-08,2024-11-09
Apartamentos Chalet del Mar,COP 199.500,"Puntuación: 9,1
9,1",Fantástico,207,San Andres,2024-11-08,2024-11-09
Sea Colors Hotel,COP 374.400,"Puntuación: 7,4
7,4",Bien,891,San Andres,2024-11-08,2024-11-09
Jhonny Cay Collection Apartment,COP 162.000,"Puntuación: 7,7
7,7",Bien,104,San Andres,2024-11-08,2024-11-09
