hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Acogedora habitacion para dos con desayuno,COP 69.000,"Puntuación: 9,0
9,0",Fantástico,4,Villa de Leyva,2024-11-12,2024-11-13
Hotel Beth Sarim,COP 110.000,"Puntuación: 8,7
8,7",Fabuloso,444,Villa de Leyva,2024-11-12,2024-11-13
Apartahotel Margaritas de la Villa,COP 99.000,"Puntuación: 9,3
9,3",Fantástico,262,Villa de Leyva,2024-11-12,2024-11-13
Hotel Campestre Cordillera de los Andes,COP 171.000,"Puntuación: 9,2
9,2",Fantástico,1.241,Villa de Leyva,2024-11-12,2024-11-13
Casa de Campo Hotel & Spa,COP 146.300,"Puntuación: 8,1
8,1",Muy bien,1.145,Villa de Leyva,2024-11-12,2024-11-13
Hotel Villa Paz,COP 90.000,"Puntuación: 9,1
9,1",Fantástico,166,Villa de Leyva,2024-11-12,2024-11-13
Casa Cantabria Hotel,COP 95.000,"Puntuación: 8,7
8,7",Fabuloso,709,Villa de Leyva,2024-11-12,2024-11-13
Hotel Cemandy by MA,COP 80.760,"Puntuación: 9,1
9,1",Fantástico,775,Villa de Leyva,2024-11-12,2024-11-13
Hotel El Giro,COP 240.200,"Puntuación: 9,0
9,0",Fantástico,425,Villa de Leyva,2024-11-12,2024-11-13
Hermoso Apartamento ubicado a 4 cuadras de Plaza Mayor,COP 80.000,,,,Villa de Leyva,2024-11-12,2024-11-13
Once,COP 128.000,,,,Villa de Leyva,2024-11-12,2024-11-13
Anhyali Hospedaje,COP 52.500,"Puntuación: 8,0
8,0",Muy bien,50,Villa de Leyva,2024-11-12,2024-11-13
hotelcasablancavilladeleyva,COP 176.000,,,,Villa de Leyva,2024-11-12,2024-11-13
CASA Petra,COP 130.000,,,,Villa de Leyva,2024-11-12,2024-11-13
Hotel Antiguo Macondo,COP 80.000,"Puntuación: 8,4
8,4",Muy bien,59,Villa de Leyva,2024-11-12,2024-11-13
Casa R and C,COP 83.000,,,,Villa de Leyva,2024-11-12,2024-11-13
VILLA LEWANA 2,COP 85.000,"Puntuación: 8,9
8,9",Fabuloso,106,Villa de Leyva,2024-11-12,2024-11-13
El pequeño hotel villa de leyva,COP 125.500,"Puntuación: 8,0
8,0",Muy bien,3,Villa de Leyva,2024-11-12,2024-11-13
Hotel LunaSol,COP 45.000,"Puntuación: 8,0
8,0",Muy bien,1,Villa de Leyva,2024-11-12,2024-11-13
Hotel las Palmas,COP 104.000,"Puntuación: 8,9
8,9",Fabuloso,1.042,Villa de Leyva,2024-11-12,2024-11-13
Hotel Oasis de la villa,COP 90.000,"Puntuación: 8,4
8,4",Muy bien,321,Villa de Leyva,2024-11-12,2024-11-13
Almanik Tematik,COP 60.000,"Puntuación: 7,4
7,4",Bien,11,Villa de Leyva,2024-11-12,2024-11-13
Hotel Vista Montaña,COP 170.000,"Puntuación: 9,5
9,5",Excepcional,31,Villa de Leyva,2024-11-12,2024-11-13
Apartasuite excelente ubicación - Centro Histório,COP 209.320,,,,Villa de Leyva,2024-11-12,2024-11-13
Hotel Villa Palmas,COP 85.000,"Puntuación: 9,2
9,2",Fantástico,431,Villa de Leyva,2024-11-12,2024-11-13
