hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hotel las Palmas,COP 100.000,"Puntuación: 8,9
8,9",Fabuloso,1.044,Villa de Leyva,2024-11-13,2024-11-14
Casa Cantabria Hotel,COP 100.000,"Puntuación: 8,7
8,7",Fabuloso,707,Villa de Leyva,2024-11-13,2024-11-14
Beraka Boutique,COP 64.000,"Puntuación: 8,3
8,3",Muy bien,164,Villa de Leyva,2024-11-13,2024-11-14
Hospederia Villa de los Sáenz,COP 128.000,"Puntuación: 8,8
8,8",Fabuloso,695,Villa de Leyva,2024-11-13,2024-11-14
Hotel Cemandy by MA,COP 89.260,"Puntuación: 9,1
9,1",Fantástico,775,Villa de Leyva,2024-11-13,2024-11-14
Hotel Boutique Cenit,COP 100.000,"Puntuación: 9,3
9,3",Fantástico,10,Villa de Leyva,2024-11-13,2024-11-14
Apartahotel Margaritas de la Villa,COP 120.000,"Puntuación: 9,3
9,3",Fantástico,262,Villa de Leyva,2024-11-13,2024-11-14
Hotel Beth Sarim,COP 110.000,"Puntuación: 8,7
8,7",Fabuloso,447,Villa de Leyva,2024-11-13,2024-11-14
Hotel Casa Alcestre,COP 406.720,"Puntuación: 9,1
9,1",Fantástico,302,Villa de Leyva,2024-11-13,2024-11-14
Oasis san José de la villa,COP 64.500,"Puntuación: 8,9
8,9",Fabuloso,298,Villa de Leyva,2024-11-13,2024-11-14
Hotel Antiguo Macondo,COP 80.000,"Puntuación: 8,4
8,4",Muy bien,59,Villa de Leyva,2024-11-13,2024-11-14
Hotel LunaSol,COP 45.000,"Puntuación: 5,0
5,0",Puntuación,2,Villa de Leyva,2024-11-13,2024-11-14
Hotel Oasis de la villa,COP 90.000,"Puntuación: 8,4
8,4",Muy bien,321,Villa de Leyva,2024-11-13,2024-11-14
Hostal Villa Carmen,COP 60.000,"Puntuación: 9,3
9,3",Fantástico,115,Villa de Leyva,2024-11-13,2024-11-14
VILLA LEWANA 2,COP 85.000,"Puntuación: 8,9
8,9",Fabuloso,108,Villa de Leyva,2024-11-13,2024-11-14
Hermoso Apartamento ubicado a 4 cuadras de Plaza Mayor,COP 80.000,,,,Villa de Leyva,2024-11-13,2024-11-14
Hotel Campestre Cordillera de los Andes,COP 153.000,"Puntuación: 9,2
9,2",Fantástico,1.242,Villa de Leyva,2024-11-13,2024-11-14
Aparta Hotel El Refugio de María,COP 84.000,"Puntuación: 8,9
8,9",Fabuloso,320,Villa de Leyva,2024-11-13,2024-11-14
Anhyali Hospedaje,COP 60.000,"Puntuación: 8,0
8,0",Muy bien,50,Villa de Leyva,2024-11-13,2024-11-14
Glamping en villa,COP 72.000,"Puntuación: 8,0
8,0",Muy bien,504,Villa de Leyva,2024-11-13,2024-11-14
