hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Acogedora habitacion para dos con desayuno,COP 64.900,"Puntuación: 9,4
9,4",Fantástico,20,Villa de leyva,2024-12-17,2024-12-18
Hotel Boutique Cenit,COP 92.500,"Puntuación: 9,1
9,1",Fantástico,26,Villa de leyva,2024-12-17,2024-12-18
Aparta Hotel El Refugio de María,COP 65.000,"Puntuación: 8,9
8,9",Fabuloso,324,Villa de leyva,2024-12-17,2024-12-18
Hotel Casa Cantabria Campestre,COP 100.000,"Puntuación: 8,7
8,7",Fabuloso,1.444,Villa de leyva,2024-12-17,2024-12-18
Hospederia Villa de los Sáenz,COP 90.000,"Puntuación: 8,8
8,8",Fabuloso,690,Villa de leyva,2024-12-17,2024-12-18
El Oasis de la villa,COP 90.000,"Puntuación: 8,6
8,6",Fabuloso,198,Villa de leyva,2024-12-17,2024-12-18
Hostal Boutique Nariño Plaza,COP 65.000,"Puntuación: 8,4
8,4",Muy bien,406,Villa de leyva,2024-12-17,2024-12-18
Hostal Rana,COP 70.000,"Puntuación: 9,1
9,1",Fantástico,328,Villa de leyva,2024-12-17,2024-12-18
Oasis san José de la villa,COP 70.000,"Puntuación: 8,9
8,9",Fabuloso,312,Villa de leyva,2024-12-17,2024-12-18
Hotel Antiguo Macondo,COP 99.000,"Puntuación: 8,4
8,4",Muy bien,72,Villa de leyva,2024-12-17,2024-12-18
Casa Ande Hotel boutique,COP 90.000,"Puntuación: 8,9
8,9",Fabuloso,54,Villa de leyva,2024-12-17,2024-12-18
Suites Arcoiris,COP 135.900,"Puntuación: 8,7
8,7",Fabuloso,320,Villa de leyva,2024-12-17,2024-12-18
Merak Hostel,COP 120.000,"Puntuación: 9,7
9,7",Excepcional,210,Villa de leyva,2024-12-17,2024-12-18
Hotel Beth Sarim,COP 140.000,"Puntuación: 8,6
8,6",Fabuloso,445,Villa de leyva,2024-12-17,2024-12-18
VILLA LEWANA 2,COP 100.000,"Puntuación: 8,9
8,9",Fabuloso,124,Villa de leyva,2024-12-17,2024-12-18
Hostal Villa Carmen,COP 60.000,"Puntuación: 9,3
9,3",Fantástico,119,Villa de leyva,2024-12-17,2024-12-18
HOTEL LEYVA LUXE,COP 90.000,"Puntuación: 8,2
8,2",Muy bien,45,Villa de leyva,2024-12-17,2024-12-18
Serena Morena Hostel,COP 120.000,"Puntuación: 9,6
9,6",Excepcional,28,Villa de leyva,2024-12-17,2024-12-18
Casa Gloria en Villa de Leyva,COP 115.000,"Puntuación: 8,5
8,5",Muy bien,524,Villa de leyva,2024-12-17,2024-12-18
Casa Lewana,COP 95.000,"Puntuación: 9,0
9,0",Fantástico,611,Villa de leyva,2024-12-17,2024-12-18
Hotel Oasis de la villa,COP 110.000,"Puntuación: 8,4
8,4",Muy bien,354,Villa de leyva,2024-12-17,2024-12-18
Cemandy Hostal,COP 90.000,"Puntuación: 8,7
8,7",Fabuloso,214,Villa de leyva,2024-12-17,2024-12-18
San Javier 2,COP 80.000,"Puntuación: 8,3
8,3",Muy bien,218,Villa de leyva,2024-12-17,2024-12-18
Hola! Veci,COP 65.000,"Puntuación: 8,3
8,3",Muy bien,27,Villa de leyva,2024-12-17,2024-12-18
refugio natal1,COP 467.500,,,,Villa de leyva,2024-12-17,2024-12-18
