hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hermoso apartmento con La mejor vista el peñol guatape,COP 127.500,"Puntuación: 9,3
9,3",Fantástico,69, guatapé,2024-11-14,2024-11-15
Porto Marina Hotel,COP 320.440,"Puntuación: 9,0
9,0",Fantástico,531, guatapé,2024-11-14,2024-11-15
Hotel Guatatur,COP 116.080,"Puntuación: 8,0
8,0",Muy bien,733, guatapé,2024-11-14,2024-11-15
Hotel Las Vegas,COP 79.000,"Puntuación: 7,9
7,9",Bien,1.102, guatapé,2024-11-14,2024-11-15
Oak Tree house,COP 81.000,"Puntuación: 8,9
8,9",Fabuloso,1.500, guatapé,2024-11-14,2024-11-15
Hotel Portal Guatapé,COP 72.240,"Puntuación: 8,6
8,6",Fabuloso,49, guatapé,2024-11-14,2024-11-15
Hotel Estaciones Guatapé,COP 85.000,"Puntuación: 7,2
7,2",Bien,9, guatapé,2024-11-14,2024-11-15
NOMADA HOTEL GUATAPE,COP 92.880,"Puntuación: 9,3
9,3",Fantástico,83, guatapé,2024-11-14,2024-11-15
Hospedaje 3 Esquinas,COP 60.000,"Puntuación: 8,3
8,3",Muy bien,471, guatapé,2024-11-14,2024-11-15
Hotel Casa Linda Guatape,COP 159.140,"Puntuación: 8,8
8,8",Fabuloso,294, guatapé,2024-11-14,2024-11-15
Hotel Casa Verde Guatapé,COP 67.120,"Puntuación: 8,6
8,6",Fabuloso,460, guatapé,2024-11-14,2024-11-15
Hotel Verony Guatape,COP 198.760,"Puntuación: 8,2
8,2",Muy bien,1.388, guatapé,2024-11-14,2024-11-15
The Boato Hotel,COP 498.220,"Puntuación: 9,0
9,0",Fantástico,1.095, guatapé,2024-11-14,2024-11-15
Hotel Bahia del Faro,COP 179.000,"Puntuación: 8,6
8,6",Fabuloso,1.164, guatapé,2024-11-14,2024-11-15
Casa García Rent Home,COP 117.000,"Puntuación: 9,0
9,0",Fantástico,264, guatapé,2024-11-14,2024-11-15
"San Simon Glamping,El peñol,Guatape",COP 228.800,"Puntuación: 8,9
8,9",Fabuloso,61, guatapé,2024-11-14,2024-11-15
BubbleSky Glamping Guatapé,COP 403.000,"Puntuación: 9,1
9,1",Fantástico,403, guatapé,2024-11-14,2024-11-15
Hotel La Avenida,COP 70.000,"Puntuación: 8,2
8,2",Muy bien,79, guatapé,2024-11-14,2024-11-15
Hotel Lagos de Guatape,COP 70.000,"Puntuación: 8,9
8,9",Fabuloso,347, guatapé,2024-11-14,2024-11-15
La Pausa Hotelbistro,COP 715.000,"Puntuación: 9,6
9,6",Excepcional,328, guatapé,2024-11-14,2024-11-15
Apto Jardines del Lago B15 201,COP 55.000,"Puntuación: 6,1
6,1",Puntuación,18, guatapé,2024-11-14,2024-11-15
El Trebol,COP 350.000,"Puntuación: 9,5
9,5",Excepcional,260, guatapé,2024-11-14,2024-11-15
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3",Fantástico,157, guatapé,2024-11-14,2024-11-15
Casa Encuentro Ecolodge,COP 203.000,"Puntuación: 8,8
8,8",Fabuloso,329, guatapé,2024-11-14,2024-11-15
Luxé Cabañas,COP 517.440,"Puntuación: 8,5
8,5",Muy bien,1.110, guatapé,2024-11-14,2024-11-15
