hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
NOWA Provenza 3-Story Villa with Pool & Rooftop,COP 119.884.000,,,,medellin,2024-11-20,2024-12-31
Apartamentos Go Living & Suites by HOUSY HOST,COP 12.164.420,"Puntuación: 8,3
8,3",Muy bien,1.149,medellin,2024-11-20,2024-12-31
Heiss Hotel,COP 13.509.120,"Puntuación: 8,6
8,6",Fabuloso,103,medellin,2024-11-20,2024-12-31
Casa Moore,COP 4.835.700,"Puntuación: 8,7
8,7",Fabuloso,25,medellin,2024-11-20,2024-12-31
"Space, best location & price!",COP 10.982.140,"Puntuación: 9,0
9,0",Fantástico,2,medellin,2024-11-20,2024-12-31
Bajo la luna hotel,COP 2.870.000,"Puntuación: 9,6
9,6",Excepcional,5,medellin,2024-11-20,2024-12-31
Versus Hotel,COP 20.579.520,"Puntuación: 9,0
9,0",Fantástico,567,medellin,2024-11-20,2024-12-31
Mandala hotel Botero,COP 5.732.320,"Puntuación: 7,5
7,5",Bien,806,medellin,2024-11-20,2024-12-31
Mandala Hotel Centro,COP 6.489.100,"Puntuación: 7,7
7,7",Bien,1.166,medellin,2024-11-20,2024-12-31
Hotel Medellin Kapital,COP 5.020.000,"Puntuación: 6,7
6,7",Puntuación,411,medellin,2024-11-20,2024-12-31
Mandala Hotel Belen,COP 6.973.660,"Puntuación: 7,9
7,9",Bien,1.088,medellin,2024-11-20,2024-12-31
VPV Suites,COP 18.427.160,"Puntuación: 8,3
8,3",Muy bien,486,medellin,2024-11-20,2024-12-31
Beautiful Apartament Poblado-San Diego Medellin,COP 9.114.000,,,,medellin,2024-11-20,2024-12-31
Ayenda 1240 Megua,COP 6.428.320,"Puntuación: 8,6
8,6",Fabuloso,476,medellin,2024-11-20,2024-12-31
"Hotel, Opera, Centro, Medellin, Adults Only, Turismocolombia-fit",COP 5.338.740,,,,medellin,2024-11-20,2024-12-31
Sonata 44 Hotel Laureles,COP 20.330.720,"Puntuación: 9,0
9,0",Fantástico,564,medellin,2024-11-20,2024-12-31
Affinity Aparta Hotel,COP 12.463.360,"Puntuación: 8,9
8,9",Fabuloso,111,medellin,2024-11-20,2024-12-31
Entre Verdes Hotel & Glamping,COP 21.687.360,"Puntuación: 8,6
8,6",Fabuloso,228,medellin,2024-11-20,2024-12-31
Hotel Cytrico,COP 25.830.000,"Puntuación: 8,4
8,4",Muy bien,141,medellin,2024-11-20,2024-12-31
Hotel Du Parc,COP 50.200.000,"Puntuación: 8,6
8,6",Fabuloso,389,medellin,2024-11-20,2024-12-31
Landmark Hotel,COP 22.860.340,"Puntuación: 9,2
9,2",Fantástico,4.461,medellin,2024-11-20,2024-12-31
Soul Lifestyle Hotel,COP 23.362.400,"Puntuación: 8,9
8,9",Fabuloso,844,medellin,2024-11-20,2024-12-31
Binn Hotel,COP 34.057.800,"Puntuación: 9,1
9,1",Fantástico,618,medellin,2024-11-20,2024-12-31
Apartestudio de 2 habitaciones con cocina compartida,COP 3.485.000,,,,medellin,2024-11-20,2024-12-31
Loft en Medellín Descanso y estilo en la ciudad 106,COP 6.034.020,,,,medellin,2024-11-20,2024-12-31
