hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Ayenda 1136 MH,COP 133.640,"Puntuación: 7,6
7,6",Bien,356,pereira,2025-01-21,2025-01-22
Hotel Pereira Central,COP 63.540,"Puntuación: 7,1
7,1",Bien,23,pereira,2025-01-21,2025-01-22
Hotel Dibeni Pereira,COP 110.000,"Puntuación: 7,6
7,6",Bien,1.235,pereira,2025-01-21,2025-01-22
Hotel Coffee Real Pereira,COP 72.100,"Puntuación: 6,7
6,7",Puntuación,390,pereira,2025-01-21,2025-01-22
Hotel Condina Pereira,COP 81.000,"Puntuación: 6,9
6,9",Puntuación,682,pereira,2025-01-21,2025-01-22
Ecohotel La Casona Pereira,COP 76.500,"Puntuación: 7,4
7,4",Bien,817,pereira,2025-01-21,2025-01-22
Hotel Agata Boutique pinares Pereira,COP 142.880,"Puntuación: 8,8
8,8",Fabuloso,38,pereira,2025-01-21,2025-01-22
Sonesta Hotel Pereira,COP 470.000,"Puntuación: 9,0
9,0",Fantástico,1.662,pereira,2025-01-21,2025-01-22
Hotel Castellón Plaza,COP 48.200,"Puntuación: 7,1
7,1",Bien,176,pereira,2025-01-21,2025-01-22
Hotel Soratama,COP 344.000,"Puntuación: 8,8
8,8",Fabuloso,2.013,pereira,2025-01-21,2025-01-22
Epic Suites x Ahead,COP 109.880,"Puntuación: 8,8
8,8",Fabuloso,131,pereira,2025-01-21,2025-01-22
Hotel Casandina,COP 80.000,,,,pereira,2025-01-21,2025-01-22
Ecohotel Guaduales Pereira,COP 103.500,"Puntuación: 8,1
8,1",Muy bien,478,pereira,2025-01-21,2025-01-22
Hotel Go Pereira,COP 127.500,"Puntuación: 7,0
7,0",Bien,819,pereira,2025-01-21,2025-01-22
Habitat Suites Hotel,COP 210.920,"Puntuación: 8,3
8,3",Muy bien,743,pereira,2025-01-21,2025-01-22
M1145 Aparta Loft,COP 72.000,"Puntuación: 8,2
8,2",Muy bien,633,pereira,2025-01-21,2025-01-22
Movich Hotel de Pereira,COP 505.600,"Puntuación: 9,0
9,0",Fantástico,1.651,pereira,2025-01-21,2025-01-22
APARTASUITES 21 A,COP 99.000,"Puntuación: 8,9
8,9",Fabuloso,371,pereira,2025-01-21,2025-01-22
Hotel Plaza Real Pereira,COP 64.800,"Puntuación: 6,9
6,9",Puntuación,60,pereira,2025-01-21,2025-01-22
Hotel Palo Grande CF Pereira,COP 119.000,"Puntuación: 8,8
8,8",Fabuloso,302,pereira,2025-01-21,2025-01-22
Hotel Inter del Café,COP 102.000,"Puntuación: 7,4
7,4",Bien,297,pereira,2025-01-21,2025-01-22
Hotel Castilla Real,COP 269.020,"Puntuación: 9,3
9,3",Fantástico,525,pereira,2025-01-21,2025-01-22
Ayenda 1122 Victoria,COP 64.620,"Puntuación: 6,5
6,5",Puntuación,579,pereira,2025-01-21,2025-01-22
Hotel Tangara,COP 109.200,"Puntuación: 7,6
7,6",Bien,994,pereira,2025-01-21,2025-01-22
Hotel paradise del cafe,COP 160.000,"Puntuación: 8,6
8,6",Fabuloso,1.397,pereira,2025-01-21,2025-01-22
Ayenda 1136 MH,COP 133.640,"Puntuación: 7,6
7,6",Bien,356,pereira,2025-01-21,2025-01-22
Hotel Condina Pereira,COP 81.000,"Puntuación: 6,9
6,9",Puntuación,682,pereira,2025-01-21,2025-01-22
